ex_ID,ex_Date,ex_Type,ex_DurationMin,ex_TotalMarks,ex_PassGrade,cou_ID
87,4/15/2023,Project Based,20,10,6,97
88,6/22/1999,Project Based,90,120,72,91
89,12/7/2009,Multi Choice,40,10,6,51
90,10/29/1996,Written,180,30,18,98
91,10/26/2012,Project Based,90,100,60,197
92,3/30/2005,Project Based,40,100,60,182
93,2/15/2009,Multi Choice,90,100,60,113
94,5/31/2016,Project Based,180,120,72,331
95,11/14/2013,Project Based,40,10,6,143
96,10/17/2013,Written,60,30,18,30
97,6/28/1996,Project Based,90,100,60,104
98,5/2/1996,Project Based,180,50,30,50
99,2/19/2000,Multi Choice,20,10,6,136
100,5/14/2013,Written,120,10,6,109
101,6/5/1996,Project Based,120,10,6,8
102,12/23/1995,Written,20,10,6,181
103,5/30/2012,Written,40,30,18,308
104,3/20/2000,Multi Choice,30,100,60,184
105,12/1/2001,Written,120,50,30,186
106,12/9/2014,Written,60,10,6,6
107,6/14/1997,Written,120,10,6,69
108,3/22/2011,Multi Choice,60,10,6,168
109,2/19/2017,Written,120,120,72,65
110,5/21/1996,Project Based,180,10,6,167
111,4/25/2014,Project Based,60,120,72,70
112,10/10/2004,Multi Choice,120,30,18,114
113,6/17/2005,Project Based,90,10,6,312
114,10/30/2001,Project Based,120,30,18,131
115,3/19/2003,Project Based,120,10,6,312
116,11/10/2015,Written,30,30,18,66
117,10/30/2020,Multi Choice,120,120,72,110
118,3/17/1998,Project Based,20,30,18,178
119,6/29/2020,Written,20,120,72,304
120,6/30/2000,Project Based,180,10,6,222
121,1/12/1996,Project Based,180,10,6,256
122,1/17/2014,Multi Choice,40,30,18,176
123,6/24/2008,Project Based,60,10,6,347
124,3/11/2017,Project Based,40,120,72,204
125,3/1/2021,Written,30,120,72,254
126,4/17/2012,Multi Choice,40,30,18,120
127,12/15/2022,Project Based,30,120,72,13
128,3/4/2003,Multi Choice,90,100,60,234
129,7/1/2007,Multi Choice,120,10,6,222
130,10/28/2003,Project Based,30,120,72,260
131,10/19/2003,Project Based,20,10,6,55
132,6/8/1998,Written,120,10,6,87
133,6/6/2016,Written,120,100,60,169
134,11/4/2002,Multi Choice,120,10,6,234
135,4/19/2005,Written,20,100,60,348
136,2/5/2014,Written,20,100,60,136
137,5/21/2013,Multi Choice,180,100,60,213
138,1/2/2013,Project Based,30,100,60,70
139,12/24/2011,Written,120,30,18,60
140,1/5/2011,Written,180,120,72,182
141,11/8/2020,Written,180,10,6,38
142,12/5/2012,Multi Choice,20,30,18,310
143,11/7/2000,Multi Choice,30,30,18,162
144,12/16/1998,Multi Choice,30,120,72,238
145,3/20/1997,Project Based,60,100,60,77
146,5/20/1997,Multi Choice,120,100,60,250
147,4/26/2019,Multi Choice,30,10,6,152
148,12/31/2014,Multi Choice,30,10,6,232
149,11/15/1996,Written,20,100,60,349
150,6/29/2003,Multi Choice,90,30,18,297
151,11/18/2006,Multi Choice,120,30,18,291
152,3/2/2017,Project Based,20,30,18,29
153,1/9/2019,Written,20,30,18,254
154,3/3/2003,Project Based,90,100,60,280
155,10/13/2011,Written,40,100,60,291
156,6/12/2021,Written,90,10,6,30
157,1/29/1998,Multi Choice,30,50,30,96
158,6/26/2013,Written,30,30,18,265
159,10/5/2021,Project Based,20,50,30,55
160,4/26/2005,Project Based,40,120,72,341
161,2/10/2011,Project Based,90,30,18,273
162,1/8/1997,Written,60,10,6,236
163,11/19/1999,Written,90,100,60,169
164,6/22/2008,Written,120,10,6,54
165,1/21/2013,Written,60,50,30,40
166,12/28/1996,Project Based,60,30,18,189
167,4/11/2001,Project Based,90,120,72,212
168,4/16/2007,Multi Choice,120,30,18,57
169,2/14/2004,Written,40,50,30,308
170,2/7/2009,Project Based,60,30,18,321
171,12/22/2006,Written,30,30,18,65
172,3/24/2021,Written,90,30,18,77
173,2/16/2020,Multi Choice,40,10,6,220
174,2/14/2014,Written,20,120,72,314
175,10/30/1999,Written,20,100,60,66
176,5/13/2018,Written,90,120,72,110
177,3/12/2021,Multi Choice,30,30,18,38
178,5/24/2017,Project Based,180,100,60,204
179,6/24/2014,Written,60,30,18,267
180,1/29/1998,Multi Choice,60,30,18,245
181,2/17/2007,Written,20,50,30,335
182,5/15/2019,Project Based,40,10,6,200
183,5/14/2000,Multi Choice,180,10,6,166
184,1/29/2004,Project Based,60,10,6,46
185,1/24/2012,Multi Choice,20,120,72,44
186,1/5/2023,Project Based,30,30,18,292
187,1/17/2002,Written,60,100,60,280
188,10/21/2020,Project Based,120,30,18,242
189,2/11/1996,Written,180,50,30,311
190,3/4/1999,Project Based,180,120,72,100
191,12/21/2022,Multi Choice,60,30,18,310
192,12/20/2006,Project Based,120,30,18,323
193,5/12/2008,Project Based,30,10,6,195
194,6/10/1996,Multi Choice,20,100,60,251
195,2/23/2006,Written,40,30,18,255
196,2/4/2001,Project Based,20,120,72,268
197,3/12/2002,Multi Choice,180,10,6,223
198,6/8/1996,Project Based,20,30,18,79
199,1/12/2025,Written,120,120,72,1
200,10/18/2013,Multi Choice,30,10,6,294
201,1/15/2014,Project Based,60,50,30,208
202,11/11/2003,Multi Choice,120,50,30,295
203,6/12/2017,Project Based,60,50,30,24
204,6/21/2011,Written,180,50,30,68
205,1/6/1998,Written,40,50,30,291
206,4/28/2021,Multi Choice,20,10,6,23
207,3/6/2001,Multi Choice,20,100,60,198
208,6/20/2026,Multi Choice,120,100,60,276
209,4/28/2016,Project Based,90,120,72,29
210,5/12/2025,Project Based,20,120,72,151
211,4/18/2004,Project Based,40,100,60,64
212,6/15/2022,Project Based,40,120,72,173
213,10/14/2016,Written,90,50,30,272
214,12/1/2019,Multi Choice,180,50,30,147
215,1/22/2015,Multi Choice,120,50,30,313
216,2/11/2007,Written,90,120,72,167
217,6/26/2021,Written,120,120,72,339
218,10/22/2016,Written,30,50,30,270
219,5/4/2017,Written,40,30,18,313
220,5/11/2016,Project Based,40,50,30,268
221,6/6/2020,Project Based,30,50,30,262
222,11/17/2021,Multi Choice,60,50,30,201
223,2/14/2002,Written,20,100,60,102
224,1/5/2001,Written,90,120,72,66
225,12/13/2018,Project Based,90,120,72,252
226,2/26/2013,Project Based,20,100,60,287
227,6/25/2025,Project Based,120,120,72,331
228,6/2/2011,Project Based,180,10,6,36
229,11/24/2013,Multi Choice,180,50,30,140
230,2/21/2001,Project Based,60,10,6,278
231,12/27/2023,Written,30,100,60,203
232,2/20/2016,Written,90,50,30,350
233,5/13/2002,Project Based,180,120,72,142
234,5/28/2000,Project Based,60,10,6,71
235,5/15/2021,Written,180,50,30,54
236,3/2/2013,Written,40,10,6,146
237,3/13/2013,Project Based,180,100,60,175
238,12/11/2010,Multi Choice,20,120,72,135
239,3/21/2004,Multi Choice,60,10,6,81
240,11/22/2000,Multi Choice,120,50,30,27
241,5/30/1998,Written,180,120,72,31
242,5/7/2020,Project Based,60,30,18,181
243,5/26/2013,Written,40,50,30,307
244,11/29/2012,Multi Choice,120,50,30,213
245,10/26/1997,Multi Choice,90,30,18,7
246,3/5/2019,Project Based,60,100,60,316
247,10/23/1996,Multi Choice,180,50,30,344
248,11/12/1999,Written,90,50,30,1
249,4/3/1998,Written,20,100,60,34
250,11/8/1996,Written,180,100,60,189
251,3/1/2009,Written,180,100,60,287
252,10/19/2025,Project Based,120,10,6,69
253,12/11/2004,Multi Choice,30,120,72,202
254,6/2/2014,Written,60,30,18,349
255,2/13/2012,Multi Choice,20,10,6,279
256,1/15/1997,Written,180,10,6,63
257,4/11/2017,Multi Choice,30,30,18,32
258,4/16/2001,Project Based,90,50,30,137
259,3/3/2011,Written,20,50,30,83
260,10/26/2005,Multi Choice,90,50,30,241
261,4/7/1998,Multi Choice,40,120,72,201
262,5/28/2022,Multi Choice,120,120,72,7
263,11/3/2023,Project Based,40,10,6,225
264,1/17/2003,Written,120,50,30,42
265,2/15/2024,Written,60,100,60,29
266,1/8/1998,Written,180,10,6,215
267,1/27/2018,Multi Choice,120,10,6,141
268,4/10/2006,Project Based,120,10,6,59
269,1/16/2023,Multi Choice,60,100,60,268
270,4/28/2020,Multi Choice,120,120,72,193
271,10/8/1995,Project Based,60,100,60,189
272,4/2/2011,Written,90,120,72,106
273,12/28/1997,Project Based,20,30,18,160
274,3/14/2000,Project Based,30,100,60,199
275,2/21/2004,Project Based,180,100,60,18
276,10/2/2001,Multi Choice,120,100,60,304
277,1/16/2004,Project Based,90,10,6,216
278,2/1/2002,Written,40,10,6,178
279,10/18/2004,Project Based,30,50,30,238
280,10/23/1998,Multi Choice,60,30,18,233
281,10/7/2003,Multi Choice,90,30,18,298
282,4/9/1998,Written,60,10,6,323
283,7/1/2011,Multi Choice,20,50,30,324
284,5/3/2008,Project Based,60,10,6,147
285,2/11/1997,Written,180,30,18,189
286,1/16/2020,Written,120,100,60,143
287,11/13/1999,Multi Choice,90,50,30,271
288,1/17/2007,Written,30,50,30,60
289,11/16/2012,Multi Choice,120,100,60,246
290,2/28/2010,Project Based,180,100,60,327
291,5/30/1998,Multi Choice,40,100,60,123
292,2/20/2018,Multi Choice,120,100,60,83
293,2/22/2013,Project Based,20,50,30,156
294,12/9/2001,Written,40,100,60,245
295,10/21/2008,Written,60,120,72,30
296,2/12/2005,Project Based,30,30,18,347
297,10/13/2004,Multi Choice,180,100,60,214
298,5/25/2008,Written,40,50,30,141
299,5/13/1996,Multi Choice,180,120,72,155
300,12/15/2010,Written,120,10,6,345
301,6/29/2002,Written,120,30,18,67
302,4/22/2011,Project Based,20,30,18,269
303,5/12/2020,Written,120,100,60,108
304,12/18/2004,Project Based,40,50,30,294
305,6/5/2017,Multi Choice,180,30,18,231
306,1/23/2004,Multi Choice,90,50,30,329
307,1/2/2022,Written,90,120,72,325
308,2/14/1998,Written,20,10,6,115
309,10/6/2006,Multi Choice,90,120,72,210
310,6/12/1996,Project Based,30,120,72,38
311,1/28/2015,Written,60,10,6,80
312,12/24/2006,Written,120,30,18,79
313,10/25/2010,Project Based,60,120,72,164
314,6/6/2009,Multi Choice,30,120,72,227
315,6/17/2022,Multi Choice,30,50,30,172
316,12/24/2010,Written,90,50,30,317
317,2/10/2006,Multi Choice,30,30,18,202
318,11/3/2010,Project Based,180,50,30,27
319,2/28/2016,Project Based,30,100,60,282
320,6/12/1998,Project Based,60,30,18,234
321,11/20/2022,Multi Choice,120,50,30,260
322,4/8/2017,Project Based,180,50,30,318
323,3/19/2012,Written,30,100,60,75
324,10/26/2003,Project Based,30,10,6,270
325,3/11/2025,Project Based,120,100,60,142
326,6/21/2007,Project Based,40,120,72,148
327,3/31/2008,Multi Choice,20,100,60,256
328,3/2/2001,Project Based,90,100,60,47
329,10/10/2002,Written,40,30,18,310
330,5/14/2021,Project Based,180,100,60,120
331,5/17/1997,Project Based,120,50,30,319
332,1/9/2006,Project Based,120,50,30,347
333,5/20/2007,Written,90,120,72,187
334,2/3/2008,Written,180,100,60,211
335,11/10/2006,Project Based,90,120,72,64
336,6/2/2013,Written,90,10,6,344
337,3/31/2001,Written,30,30,18,36
338,4/16/2015,Project Based,30,10,6,149
339,11/25/1998,Multi Choice,90,50,30,281
340,2/5/2017,Project Based,40,120,72,53
341,1/12/2009,Project Based,180,120,72,62
342,10/23/2007,Project Based,30,30,18,39
343,3/2/2014,Written,40,100,60,142
344,10/24/2002,Project Based,90,10,6,9
345,5/11/2002,Written,30,10,6,299
346,2/1/2008,Project Based,40,50,30,113
347,10/12/2001,Multi Choice,20,100,60,25
348,1/15/2002,Project Based,60,50,30,179
349,2/24/2015,Written,180,50,30,140
350,12/20/2010,Multi Choice,120,50,30,297
351,12/5/2016,Project Based,40,10,6,156
352,4/15/1997,Project Based,20,50,30,278
353,12/26/1997,Written,120,10,6,320
354,4/17/2000,Project Based,30,100,60,65
355,1/21/2003,Multi Choice,90,10,6,215
356,6/8/2013,Written,20,50,30,49
357,3/18/2011,Multi Choice,60,10,6,228
358,11/4/2019,Project Based,60,10,6,313
359,2/16/2010,Multi Choice,180,100,60,64
360,10/1/1995,Written,30,30,18,29
361,6/24/2002,Written,40,10,6,134
362,4/27/2020,Project Based,90,30,18,58
363,10/31/2014,Project Based,180,10,6,126
364,11/5/2020,Multi Choice,60,100,60,200
365,3/9/2001,Multi Choice,40,100,60,97
366,10/1/1999,Written,90,100,60,154
367,3/5/2011,Multi Choice,40,120,72,148
368,10/3/1999,Project Based,40,100,60,241
369,3/2/2000,Written,20,30,18,226
370,11/4/1996,Multi Choice,20,120,72,6
371,6/17/1998,Project Based,60,30,18,124
372,10/21/2015,Multi Choice,40,10,6,318
373,11/17/1996,Project Based,30,50,30,153
374,4/28/2020,Written,90,30,18,218
375,10/7/2001,Project Based,30,30,18,19
376,6/25/1998,Project Based,90,100,60,277
377,11/2/2000,Multi Choice,90,50,30,69
378,6/26/2001,Written,120,100,60,218
379,4/8/1997,Written,60,10,6,206
380,2/7/2007,Written,40,50,30,259
381,4/22/2025,Project Based,120,30,18,26
382,6/10/2010,Multi Choice,90,100,60,108
383,1/18/2014,Project Based,120,50,30,96
384,5/27/1997,Written,90,50,30,308
385,2/1/2002,Project Based,40,50,30,279
386,1/7/1997,Multi Choice,180,120,72,84
387,12/2/2021,Project Based,40,120,72,115
388,11/26/2024,Project Based,90,120,72,111
389,2/10/2005,Multi Choice,30,30,18,343
390,6/28/2008,Written,120,120,72,30
391,4/7/2002,Written,90,100,60,267
392,12/24/2014,Multi Choice,20,30,18,92
393,1/29/2015,Project Based,120,120,72,31
394,6/5/2026,Project Based,60,30,18,179
395,1/17/1998,Multi Choice,120,100,60,341
396,12/2/2023,Project Based,120,100,60,78
397,5/1/2000,Written,120,50,30,157
398,3/23/2026,Multi Choice,60,100,60,82
399,2/22/2005,Written,180,100,60,202
400,6/25/1996,Multi Choice,20,100,60,318
401,10/4/2006,Written,60,10,6,131
402,11/23/2000,Multi Choice,30,50,30,44
403,1/27/2009,Multi Choice,40,10,6,78
404,11/29/2025,Project Based,180,30,18,96
405,12/30/1996,Project Based,180,120,72,181
406,10/3/2005,Multi Choice,180,100,60,231
407,2/7/2003,Multi Choice,180,120,72,210
408,11/1/2015,Project Based,90,50,30,81
409,10/24/2022,Multi Choice,30,100,60,50
410,10/4/2009,Project Based,60,100,60,156
411,5/28/2007,Written,40,120,72,153
412,7/1/2007,Written,20,50,30,19
413,4/4/2025,Project Based,40,10,6,129
414,11/19/2005,Written,120,120,72,175
415,3/12/2022,Project Based,90,50,30,166
416,3/16/2017,Multi Choice,90,30,18,252
417,4/28/1996,Multi Choice,120,30,18,23
418,10/20/2023,Written,90,50,30,53
419,3/2/2015,Written,90,10,6,307
420,4/20/2001,Project Based,20,10,6,321
421,10/28/2005,Project Based,20,50,30,338
422,12/5/2001,Multi Choice,40,30,18,17
423,11/28/2005,Written,20,30,18,2
424,3/27/2006,Project Based,20,30,18,226
425,11/1/2006,Project Based,90,30,18,229
426,4/9/2011,Multi Choice,30,100,60,102
427,6/3/2013,Multi Choice,120,100,60,31
428,1/28/2008,Written,30,120,72,328
429,5/30/2006,Multi Choice,120,50,30,85
430,2/27/2022,Written,40,100,60,248
431,12/29/2011,Multi Choice,30,10,6,242
432,11/9/1998,Project Based,90,100,60,55
433,11/2/2003,Project Based,30,100,60,23
434,5/3/2020,Project Based,120,120,72,62
435,10/22/1998,Project Based,60,10,6,67
436,3/11/2026,Project Based,40,30,18,13
437,10/13/2004,Multi Choice,40,120,72,111
438,11/5/1998,Project Based,60,100,60,262
439,1/4/2003,Multi Choice,120,10,6,30
440,2/24/2010,Multi Choice,90,10,6,319
441,3/13/2005,Project Based,120,120,72,3
442,5/27/1999,Multi Choice,40,100,60,186
443,2/26/1997,Project Based,30,120,72,269
444,1/7/2008,Multi Choice,30,50,30,238
445,6/27/2013,Project Based,180,50,30,30
446,2/8/2001,Multi Choice,30,10,6,240
447,5/30/2010,Multi Choice,60,120,72,264
448,11/23/2014,Project Based,30,30,18,235
449,4/28/2006,Written,20,30,18,144
450,5/13/1996,Project Based,60,120,72,150
451,1/10/2005,Project Based,40,100,60,153
452,1/17/2000,Project Based,180,10,6,270
453,12/12/2012,Project Based,60,50,30,35
454,3/17/2012,Project Based,180,120,72,169
455,2/7/2024,Project Based,60,30,18,266
456,5/5/2001,Written,120,120,72,166
457,3/7/2020,Multi Choice,180,120,72,248
458,3/27/2026,Project Based,40,120,72,224
459,11/14/1996,Multi Choice,120,100,60,118
460,4/17/2000,Written,20,10,6,342
461,3/15/1997,Written,180,120,72,235
462,1/23/2006,Project Based,120,10,6,187
463,10/6/2008,Multi Choice,40,50,30,182
464,1/21/2011,Written,120,10,6,324
465,4/11/2008,Multi Choice,120,30,18,254
466,12/17/2001,Written,30,100,60,170
467,10/29/2009,Multi Choice,30,10,6,15
468,5/29/2001,Multi Choice,30,10,6,322
469,2/25/2018,Written,20,10,6,90
470,10/26/2008,Multi Choice,120,10,6,170
471,2/19/2021,Multi Choice,60,120,72,24
472,6/8/2021,Written,20,10,6,36
473,3/10/2005,Multi Choice,40,100,60,260
474,5/18/1999,Multi Choice,30,120,72,133
475,1/1/1999,Written,20,100,60,294
476,12/6/2019,Project Based,120,30,18,310
477,5/22/2010,Project Based,20,10,6,258
478,11/16/2011,Written,90,100,60,33
479,12/21/1995,Project Based,90,10,6,325
480,3/23/2018,Project Based,180,100,60,164
481,10/20/1999,Project Based,40,10,6,18
482,1/11/2015,Project Based,20,100,60,66
483,6/13/1999,Written,30,50,30,54
484,3/23/2017,Project Based,60,30,18,201
485,1/12/2005,Written,60,120,72,159
486,5/14/2017,Project Based,120,120,72,332
487,4/29/2002,Multi Choice,30,30,18,234
488,11/23/2019,Written,20,30,18,199
489,3/11/2011,Written,20,100,60,287
490,2/17/2015,Multi Choice,20,30,18,83
491,11/15/2004,Written,90,120,72,298
492,2/19/1996,Multi Choice,40,120,72,334
493,1/8/2003,Written,20,30,18,304
494,1/3/1997,Multi Choice,30,10,6,144
495,5/14/2021,Project Based,90,30,18,329
496,1/2/2022,Multi Choice,40,50,30,152
497,6/21/2010,Written,30,100,60,170
498,11/24/2020,Multi Choice,40,10,6,120
499,1/22/1997,Written,90,10,6,77
500,12/13/2015,Written,120,120,72,63
501,6/1/2011,Multi Choice,40,120,72,230
502,4/15/1999,Multi Choice,60,50,30,60
503,2/16/2024,Project Based,90,10,6,160
504,12/29/2014,Written,40,30,18,3
505,11/13/2012,Written,60,50,30,343
506,10/25/2023,Multi Choice,40,10,6,224
507,10/23/2019,Multi Choice,180,10,6,65
508,4/9/2003,Multi Choice,40,50,30,182
509,2/11/2002,Project Based,120,120,72,149
510,2/25/2024,Multi Choice,60,100,60,181
511,2/25/2006,Multi Choice,90,100,60,326
512,5/1/2007,Project Based,40,50,30,237
513,6/12/2007,Project Based,120,100,60,342
514,5/6/2015,Project Based,40,120,72,261
515,1/7/2006,Written,90,30,18,93
516,3/9/2023,Written,180,30,18,94
517,5/22/2004,Project Based,180,10,6,2
518,2/21/2002,Project Based,30,50,30,15
519,5/14/1999,Multi Choice,30,10,6,258
520,1/3/1997,Project Based,180,120,72,104
521,1/19/1996,Written,60,10,6,261
522,10/3/1995,Project Based,60,10,6,25
523,10/7/2013,Multi Choice,30,120,72,45
524,11/13/2003,Project Based,90,30,18,224
525,6/28/2007,Written,180,50,30,324
526,11/6/2004,Written,30,120,72,121
527,3/23/2010,Project Based,90,50,30,296
528,11/4/2007,Written,180,30,18,119
529,6/5/2009,Written,40,30,18,94
530,3/31/2026,Project Based,60,100,60,318
531,1/10/2002,Written,180,30,18,49
532,2/5/2001,Project Based,20,30,18,5
533,12/10/1995,Written,40,100,60,265
534,12/7/2016,Written,30,10,6,239
535,2/23/2017,Project Based,180,10,6,254
536,11/27/1995,Multi Choice,30,10,6,10
537,4/28/2021,Multi Choice,120,50,30,155
538,7/1/2016,Project Based,20,50,30,147
539,10/21/1996,Project Based,90,100,60,75
540,11/15/2013,Multi Choice,90,30,18,339
541,6/1/1996,Project Based,60,100,60,129
542,10/6/2006,Written,30,30,18,67
543,10/2/2007,Project Based,20,10,6,294
544,12/13/2008,Multi Choice,90,30,18,319
545,3/24/2004,Project Based,180,50,30,61
546,1/4/1998,Project Based,90,100,60,140
547,2/14/2026,Multi Choice,90,120,72,79
548,5/3/2010,Multi Choice,20,10,6,115
549,10/9/2011,Project Based,20,10,6,205
550,10/22/2025,Written,30,30,18,262
551,12/6/2014,Project Based,120,30,18,306
552,6/9/2010,Project Based,30,30,18,212
553,12/26/2006,Project Based,20,10,6,289
554,10/10/2019,Multi Choice,30,120,72,53
555,5/16/2022,Project Based,60,10,6,53
556,6/23/2008,Project Based,60,30,18,228
557,11/17/2022,Multi Choice,180,50,30,41
558,4/3/2011,Written,20,10,6,45
559,6/9/2011,Multi Choice,20,50,30,77
560,5/9/2008,Written,30,100,60,304
561,2/21/2009,Written,40,50,30,45
562,11/30/1995,Multi Choice,20,50,30,85
563,1/9/2007,Written,180,10,6,30
564,4/30/1996,Written,20,120,72,231
565,10/29/2009,Written,60,10,6,130
566,2/23/2000,Written,40,10,6,248
567,12/6/2003,Written,90,10,6,254
568,6/29/2022,Project Based,180,50,30,350
569,10/19/2004,Multi Choice,180,50,30,327
570,4/18/2001,Written,30,30,18,333
571,10/16/1995,Written,30,100,60,276
572,2/14/1998,Project Based,20,120,72,21
573,3/27/2010,Written,90,50,30,245
574,5/17/2012,Written,60,30,18,192
575,3/17/2013,Project Based,30,10,6,103
576,10/30/2022,Multi Choice,30,120,72,331
577,2/28/2012,Project Based,40,10,6,254
578,11/10/1996,Multi Choice,120,10,6,3
579,2/4/2009,Project Based,60,100,60,347
580,2/3/2010,Multi Choice,20,50,30,307
581,4/8/2012,Multi Choice,60,50,30,74
582,1/6/2013,Multi Choice,30,120,72,173
583,3/20/2010,Multi Choice,90,120,72,90
584,3/16/2016,Multi Choice,180,10,6,174
585,3/19/2005,Written,60,30,18,288
586,2/15/1996,Multi Choice,60,10,6,4
587,10/15/2003,Project Based,120,30,18,176
588,12/7/2011,Written,120,120,72,306
589,5/31/2000,Multi Choice,90,50,30,170
590,4/2/2001,Multi Choice,120,10,6,284
591,6/13/2008,Multi Choice,30,100,60,221
592,2/5/2014,Project Based,20,10,6,136
593,11/1/2005,Written,60,120,72,305
594,3/17/2005,Project Based,20,10,6,271
595,11/5/2001,Written,30,10,6,294
596,3/9/2022,Project Based,40,30,18,177
597,5/21/2010,Written,120,120,72,107
598,1/6/2005,Written,90,30,18,125
599,12/5/2016,Project Based,120,50,30,291
600,4/1/2015,Multi Choice,30,30,18,277
601,11/8/2007,Written,60,30,18,95
602,12/10/2005,Multi Choice,120,30,18,192
603,5/18/2013,Written,60,100,60,104
604,2/27/2001,Multi Choice,120,10,6,204
605,10/11/2004,Written,180,30,18,269
606,1/16/2007,Multi Choice,40,120,72,207
607,3/20/2005,Written,20,100,60,196
608,10/11/2004,Project Based,120,50,30,85
609,3/18/1999,Written,40,120,72,251
610,5/9/2009,Written,180,30,18,81
611,2/21/2011,Written,20,120,72,100
612,1/22/2001,Written,20,10,6,247
613,6/1/2010,Multi Choice,20,120,72,271
614,6/20/1997,Project Based,20,50,30,245
615,10/1/2010,Project Based,30,10,6,196
616,12/11/2007,Project Based,180,30,18,236
617,12/1/2014,Multi Choice,30,120,72,155
618,6/17/2017,Written,90,120,72,221
619,5/4/2011,Written,180,100,60,92
620,3/8/2006,Project Based,180,30,18,146
621,12/27/1998,Written,40,10,6,63
622,10/14/2007,Project Based,40,30,18,348
623,4/23/2011,Project Based,120,50,30,302
624,5/6/2002,Written,20,10,6,61
625,10/14/2000,Multi Choice,60,50,30,93
626,5/29/2000,Project Based,90,120,72,82
627,6/23/1998,Multi Choice,20,50,30,337
628,4/4/1996,Project Based,40,100,60,226
629,6/7/2017,Multi Choice,90,30,18,72
630,5/3/2009,Project Based,90,120,72,197
631,11/6/2002,Multi Choice,180,120,72,233
632,10/3/2025,Written,90,100,60,225
