q_ID,q_Difficulty,q_Text,q_Type,q_Marks,q_CorrectAnswer,Cou_ID
148,Medium,Vue.js Essentials requires more than 40 hours to complete.,True/False,1,FALSE,5
149,Easy,Vue.js Essentials is suitable for complete beginners.,True/False,1,FALSE,5
150,Medium,Vue.js Essentials covers advanced topics in its field.,True/False,1,TRUE,5
151,Easy,Which concept is central to Angular Framework?,MCQ,1,Understanding Angular concepts,6
152,Medium,What rating does Angular Framework have?,MCQ,1,Applied Angular Framework methods,6
153,Hard,What level is Angular Framework suitable for?,MCQ,1,Industry-standard Framework,6
154,Easy,What prerequisite knowledge is helpful for Angular Framework?,MCQ,1,Professional Angular skills,6
155,Medium,What makes Angular Framework unique?,MCQ,1,Angular development strategies,6
156,Hard,Which of the following best describes Angular Framework?,MCQ,1,Essential Angular training,6
157,Easy,How many hours does Angular Framework typically take?,MCQ,1,Basic angular framework fundamentals,6
158,Medium,What is the recommended duration for Angular Framework?,MCQ,1,Angular development strategies,6
159,Hard,What is the difficulty level of Angular Framework?,MCQ,1,Complete Angular Framework mastery,6
160,Easy,What is the main objective of Angular Framework?,MCQ,1,Basic angular framework fundamentals,6
161,Medium,Which tool is commonly used in Angular Framework?,MCQ,1,Mastering Angular Framework principles,6
162,Hard,What is a key learning outcome of Angular Framework?,MCQ,1,Essential Angular training,6
163,Easy,What skill will you gain from Angular Framework?,MCQ,1,Professional Angular skills,6
164,Medium,What is the primary focus of Angular Framework?,MCQ,1,Mastering Angular Framework principles,6
165,Hard,Who is the target audience for Angular Framework?,MCQ,1,Essential Angular training,6
166,Easy,Which technology is primarily covered in Angular Framework?,MCQ,1,Professional Angular skills,6
167,Medium,What type of projects are included in Angular Framework?,MCQ,1,Applied Angular Framework methods,6
168,Hard,What certification can you earn from Angular Framework?,MCQ,1,Practical Angular applications,6
169,Easy,Which framework is taught in Angular Framework?,MCQ,1,Understanding Angular concepts,6
170,Medium,Which industry uses skills from Angular Framework?,MCQ,1,Core Framework implementation,6
171,Easy,Angular Framework focuses on theoretical concepts only.,True/False,1,TRUE,6
172,Medium,Angular Framework focuses on practical application over theory.,True/False,1,TRUE,6
173,Easy,Angular Framework includes practical hands-on projects.,True/False,1,TRUE,6
174,Medium,Angular Framework requires prior programming experience.,True/False,1,TRUE,6
175,Easy,Angular Framework covers industry-standard practices.,True/False,1,TRUE,6
176,Medium,Angular Framework is designed for professional developers.,True/False,1,FALSE,6
177,Easy,Angular Framework can be completed in under 10 hours.,True/False,1,FALSE,6
178,Medium,Angular Framework is suitable for absolute beginners.,True/False,1,FALSE,6
179,Easy,Angular Framework is one of the most popular courses.,True/False,1,FALSE,6
180,Medium,Angular Framework has a rating above 4.5 stars.,True/False,1,FALSE,6
181,Easy,What prerequisite knowledge is helpful for Node.js Backend?,MCQ,1,Professional Node.js skills,7
182,Medium,What is a key learning outcome of Node.js Backend?,MCQ,1,Applied Node.js Backend methods,7
183,Hard,What makes Node.js Backend unique?,MCQ,1,Industry-standard Backend,7
184,Easy,How many hours does Node.js Backend typically take?,MCQ,1,Professional Node.js skills,7
185,Medium,Who is the target audience for Node.js Backend?,MCQ,1,Applied Node.js Backend methods,7
186,Hard,What is the main objective of Node.js Backend?,MCQ,1,Essential Node.js training,7
187,Easy,What level is Node.js Backend suitable for?,MCQ,1,Basic node.js backend fundamentals,7
188,Medium,What rating does Node.js Backend have?,MCQ,1,Node.js development strategies,7
189,Hard,Which framework is taught in Node.js Backend?,MCQ,1,Practical Node.js applications,7
190,Easy,Which industry uses skills from Node.js Backend?,MCQ,1,Professional Node.js skills,7
191,Medium,What type of projects are included in Node.js Backend?,MCQ,1,Core Backend implementation,7
192,Hard,What is the difficulty level of Node.js Backend?,MCQ,1,Practical Node.js applications,7
193,Easy,What is the primary focus of Node.js Backend?,MCQ,1,Professional Node.js skills,7
194,Medium,What skill will you gain from Node.js Backend?,MCQ,1,Node.js development strategies,7
195,Hard,What is the recommended duration for Node.js Backend?,MCQ,1,Essential Node.js training,7
196,Easy,Which concept is central to Node.js Backend?,MCQ,1,Basic node.js backend fundamentals,7
197,Medium,Which technology is primarily covered in Node.js Backend?,MCQ,1,Applied Node.js Backend methods,7
198,Hard,Which tool is commonly used in Node.js Backend?,MCQ,1,Industry-standard Backend,7
199,Easy,What certification can you earn from Node.js Backend?,MCQ,1,Advanced Backend techniques,7
200,Medium,Which of the following best describes Node.js Backend?,MCQ,1,Mastering Node.js Backend principles,7
201,Easy,Node.js Backend includes real-world case studies.,True/False,1,FALSE,7
202,Medium,Node.js Backend has a rating above 4.5 stars.,True/False,1,FALSE,7
203,Easy,Node.js Backend includes certification upon completion.,True/False,1,FALSE,7
204,Medium,Node.js Backend is designed for professional developers.,True/False,1,TRUE,7
205,Easy,Node.js Backend is suitable for complete beginners.,True/False,1,FALSE,7
206,Medium,Node.js Backend focuses on practical application over theory.,True/False,1,FALSE,7
207,Easy,Node.js Backend requires prior programming experience.,True/False,1,FALSE,7
208,Medium,Node.js Backend requires more than 40 hours to complete.,True/False,1,FALSE,7
209,Easy,Node.js Backend is suitable for absolute beginners.,True/False,1,FALSE,7
210,Medium,Node.js Backend is one of the most popular courses.,True/False,1,TRUE,7
211,Easy,What prerequisite knowledge is helpful for Python Programming?,MCQ,1,Professional Python skills,8
212,Medium,What certification can you earn from Python Programming?,MCQ,1,Core Programming implementation,8
213,Hard,What type of projects are included in Python Programming?,MCQ,1,Complete Python Programming mastery,8
214,Easy,Which industry uses skills from Python Programming?,MCQ,1,Professional Python skills,8
215,Medium,Which concept is central to Python Programming?,MCQ,1,Python development strategies,8
216,Hard,What is the primary focus of Python Programming?,MCQ,1,Practical Python applications,8
217,Easy,What makes Python Programming unique?,MCQ,1,Professional Python skills,8
218,Medium,How many hours does Python Programming typically take?,MCQ,1,Mastering Python Programming principles,8
219,Hard,Which tool is commonly used in Python Programming?,MCQ,1,Complete Python Programming mastery,8
220,Easy,What skill will you gain from Python Programming?,MCQ,1,Advanced Programming techniques,8
221,Medium,What is the recommended duration for Python Programming?,MCQ,1,Applied Python Programming methods,8
222,Hard,What rating does Python Programming have?,MCQ,1,Essential Python training,8
223,Easy,Which technology is primarily covered in Python Programming?,MCQ,1,Advanced Programming techniques,8
224,Medium,Who is the target audience for Python Programming?,MCQ,1,Core Programming implementation,8
225,Hard,What is the main objective of Python Programming?,MCQ,1,Practical Python applications,8
226,Easy,What is the difficulty level of Python Programming?,MCQ,1,Basic python programming fundamentals,8
227,Medium,What is a key learning outcome of Python Programming?,MCQ,1,Mastering Python Programming principles,8
228,Hard,Which of the following best describes Python Programming?,MCQ,1,Complete Python Programming mastery,8
229,Easy,Which framework is taught in Python Programming?,MCQ,1,Advanced Programming techniques,8
230,Medium,What level is Python Programming suitable for?,MCQ,1,Python development strategies,8
231,Easy,Python Programming is designed for professional developers.,True/False,1,TRUE,8
232,Medium,Python Programming includes certification upon completion.,True/False,1,FALSE,8
233,Easy,Python Programming includes real-world case studies.,True/False,1,TRUE,8
234,Medium,Python Programming requires more than 40 hours to complete.,True/False,1,FALSE,8
235,Easy,Python Programming covers advanced topics in its field.,True/False,1,TRUE,8
236,Medium,Python Programming has a rating above 4.5 stars.,True/False,1,TRUE,8
237,Easy,Python Programming is one of the most popular courses.,True/False,1,TRUE,8
238,Medium,Python Programming is suitable for complete beginners.,True/False,1,FALSE,8
239,Easy,Python Programming covers industry-standard practices.,True/False,1,FALSE,8
240,Medium,Python Programming focuses on theoretical concepts only.,True/False,1,TRUE,8
241,Easy,What is the primary focus of Django Web Framework?,MCQ,1,Basic django web framework fundamentals,9
242,Medium,What skill will you gain from Django Web Framework?,MCQ,1,Mastering Django Web Framework principles,9
243,Hard,Which tool is commonly used in Django Web Framework?,MCQ,1,Practical Django applications,9
244,Easy,What rating does Django Web Framework have?,MCQ,1,Understanding Django concepts,9
245,Medium,What is a key learning outcome of Django Web Framework?,MCQ,1,Mastering Django Web Framework principles,9
246,Hard,Which framework is taught in Django Web Framework?,MCQ,1,Practical Django applications,9
247,Easy,Which technology is primarily covered in Django Web Framework?,MCQ,1,Advanced Framework techniques,9
248,Medium,Which concept is central to Django Web Framework?,MCQ,1,Mastering Django Web Framework principles,9
249,Hard,Which of the following best describes Django Web Framework?,MCQ,1,Complete Django Web Framework mastery,9
250,Easy,What type of projects are included in Django Web Framework?,MCQ,1,Basic django web framework fundamentals,9
251,Medium,Which industry uses skills from Django Web Framework?,MCQ,1,Applied Django Web Framework methods,9
252,Hard,What level is Django Web Framework suitable for?,MCQ,1,Essential Django training,9
253,Easy,How many hours does Django Web Framework typically take?,MCQ,1,Advanced Framework techniques,9
254,Medium,What certification can you earn from Django Web Framework?,MCQ,1,Applied Django Web Framework methods,9
255,Hard,What is the main objective of Django Web Framework?,MCQ,1,Complete Django Web Framework mastery,9
256,Easy,What makes Django Web Framework unique?,MCQ,1,Understanding Django concepts,9
257,Medium,Who is the target audience for Django Web Framework?,MCQ,1,Mastering Django Web Framework principles,9
258,Hard,What prerequisite knowledge is helpful for Django Web Framework?,MCQ,1,Practical Django applications,9
259,Easy,What is the recommended duration for Django Web Framework?,MCQ,1,Professional Django skills,9
260,Medium,What is the difficulty level of Django Web Framework?,MCQ,1,Core Framework implementation,9
261,Easy,Django Web Framework includes real-world case studies.,True/False,1,TRUE,9
262,Medium,Django Web Framework focuses on theoretical concepts only.,True/False,1,FALSE,9
263,Easy,Django Web Framework is suitable for absolute beginners.,True/False,1,FALSE,9
264,Medium,Django Web Framework covers advanced topics in its field.,True/False,1,TRUE,9
265,Easy,Django Web Framework requires more than 40 hours to complete.,True/False,1,TRUE,9
266,Medium,Django Web Framework is one of the most popular courses.,True/False,1,FALSE,9
267,Easy,Django Web Framework includes practical hands-on projects.,True/False,1,FALSE,9
268,Medium,Django Web Framework is suitable for complete beginners.,True/False,1,FALSE,9
269,Easy,Django Web Framework covers industry-standard practices.,True/False,1,TRUE,9
270,Medium,Django Web Framework includes certification upon completion.,True/False,1,FALSE,9
271,Easy,How many hours does Flask Microframework typically take?,MCQ,1,Basic flask microframework fundamentals,10
272,Medium,Who is the target audience for Flask Microframework?,MCQ,1,Mastering Flask Microframework principles,10
273,Hard,What is the recommended duration for Flask Microframework?,MCQ,1,Complete Flask Microframework mastery,10
274,Easy,What is the difficulty level of Flask Microframework?,MCQ,1,Professional Flask skills,10
275,Medium,What makes Flask Microframework unique?,MCQ,1,Applied Flask Microframework methods,10
276,Hard,Which technology is primarily covered in Flask Microframework?,MCQ,1,Essential Flask training,10
277,Easy,What prerequisite knowledge is helpful for Flask Microframework?,MCQ,1,Professional Flask skills,10
278,Medium,What is a key learning outcome of Flask Microframework?,MCQ,1,Flask development strategies,10
279,Hard,Which industry uses skills from Flask Microframework?,MCQ,1,Industry-standard Microframework,10
280,Easy,What certification can you earn from Flask Microframework?,MCQ,1,Understanding Flask concepts,10
281,Medium,What skill will you gain from Flask Microframework?,MCQ,1,Flask development strategies,10
282,Hard,What level is Flask Microframework suitable for?,MCQ,1,Essential Flask training,10
283,Easy,What rating does Flask Microframework have?,MCQ,1,Basic flask microframework fundamentals,10
284,Medium,Which framework is taught in Flask Microframework?,MCQ,1,Mastering Flask Microframework principles,10
285,Hard,Which tool is commonly used in Flask Microframework?,MCQ,1,Essential Flask training,10
286,Easy,What is the primary focus of Flask Microframework?,MCQ,1,Advanced Microframework techniques,10
287,Medium,Which of the following best describes Flask Microframework?,MCQ,1,Mastering Flask Microframework principles,10
288,Hard,What type of projects are included in Flask Microframework?,MCQ,1,Industry-standard Microframework,10
289,Easy,Which concept is central to Flask Microframework?,MCQ,1,Professional Flask skills,10
290,Medium,What is the main objective of Flask Microframework?,MCQ,1,Core Microframework implementation,10
291,Easy,Flask Microframework covers industry-standard practices.,True/False,1,FALSE,10
292,Medium,Flask Microframework focuses on practical application over theory.,True/False,1,FALSE,10
293,Easy,Flask Microframework includes certification upon completion.,True/False,1,FALSE,10
294,Medium,Flask Microframework is suitable for complete beginners.,True/False,1,FALSE,10
295,Easy,Flask Microframework can be completed in under 10 hours.,True/False,1,FALSE,10
296,Medium,Flask Microframework is designed for professional developers.,True/False,1,FALSE,10
297,Easy,Flask Microframework covers advanced topics in its field.,True/False,1,TRUE,10
298,Medium,Flask Microframework is suitable for absolute beginners.,True/False,1,FALSE,10
299,Easy,Flask Microframework focuses on theoretical concepts only.,True/False,1,FALSE,10
300,Medium,Flask Microframework has a rating above 4.5 stars.,True/False,1,FALSE,10
301,Easy,Which framework is taught in Database Design?,MCQ,1,Basic database design fundamentals,11
302,Medium,Which concept is central to Database Design?,MCQ,1,Database development strategies,11
303,Hard,What certification can you earn from Database Design?,MCQ,1,Practical Database applications,11
304,Easy,What rating does Database Design have?,MCQ,1,Understanding Database concepts,11
305,Medium,Which tool is commonly used in Database Design?,MCQ,1,Applied Database Design methods,11
306,Hard,What makes Database Design unique?,MCQ,1,Complete Database Design mastery,11
307,Easy,What type of projects are included in Database Design?,MCQ,1,Understanding Database concepts,11
308,Medium,What is the recommended duration for Database Design?,MCQ,1,Mastering Database Design principles,11
309,Hard,How many hours does Database Design typically take?,MCQ,1,Complete Database Design mastery,11
310,Easy,Who is the target audience for Database Design?,MCQ,1,Understanding Database concepts,11
311,Medium,What is the primary focus of Database Design?,MCQ,1,Mastering Database Design principles,11
312,Hard,What is the difficulty level of Database Design?,MCQ,1,Practical Database applications,11
313,Easy,What is a key learning outcome of Database Design?,MCQ,1,Basic database design fundamentals,11
314,Medium,Which industry uses skills from Database Design?,MCQ,1,Core Design implementation,11
315,Hard,What skill will you gain from Database Design?,MCQ,1,Essential Database training,11
316,Easy,Which technology is primarily covered in Database Design?,MCQ,1,Understanding Database concepts,11
317,Medium,What level is Database Design suitable for?,MCQ,1,Core Design implementation,11
318,Hard,What is the main objective of Database Design?,MCQ,1,Industry-standard Design,11
319,Easy,What prerequisite knowledge is helpful for Database Design?,MCQ,1,Professional Database skills,11
320,Medium,Which of the following best describes Database Design?,MCQ,1,Mastering Database Design principles,11
321,Easy,Database Design has a rating above 4.5 stars.,True/False,1,TRUE,11
322,Medium,Database Design is one of the most popular courses.,True/False,1,TRUE,11
323,Easy,Database Design requires prior programming experience.,True/False,1,FALSE,11
324,Medium,Database Design covers advanced topics in its field.,True/False,1,TRUE,11
325,Easy,Database Design covers industry-standard practices.,True/False,1,FALSE,11
326,Medium,Database Design is suitable for absolute beginners.,True/False,1,FALSE,11
327,Easy,Database Design focuses on practical application over theory.,True/False,1,FALSE,11
328,Medium,Database Design is designed for professional developers.,True/False,1,TRUE,11
329,Easy,Database Design is suitable for complete beginners.,True/False,1,FALSE,11
330,Medium,Database Design includes certification upon completion.,True/False,1,TRUE,11
331,Easy,Which technology is primarily covered in MySQL Mastery?,MCQ,1,Professional MySQL skills,12
332,Medium,What prerequisite knowledge is helpful for MySQL Mastery?,MCQ,1,Mastering MySQL Mastery principles,12
333,Hard,What rating does MySQL Mastery have?,MCQ,1,Practical MySQL applications,12
334,Easy,What is the main objective of MySQL Mastery?,MCQ,1,Understanding MySQL concepts,12
335,Medium,Who is the target audience for MySQL Mastery?,MCQ,1,MySQL development strategies,12
336,Hard,Which industry uses skills from MySQL Mastery?,MCQ,1,Complete MySQL Mastery mastery,12
