gp_ID,gp_Name,gp_Score
128,Smart Invigilation System,86.57
129,Social Media Analytics,50.68
130,Cloud-Based Test Management,69.4
131,Inventory Management System,63.64
132,University Admission Portal,60.68
133,Tourism Recommendation System,87.62
134,IoT Smart Home Controller,88.97
135,Tourism Recommendation System,75.86
136,Data Visualization Platform,51.77
137,Restaurant Ordering System,77.01
138,E-Commerce Dashboard,92.56
139,Tourism Recommendation System,52.93
140,Digital Quiz and Result Analyzer,87.03
141,Exam Scheduling and Proctoring System,59.59
142,Social Media Analytics,76.94
143,Exam Scheduling and Proctoring System,86.26
144,Sales Forecasting Tool,64.91
145,Automated Exam Management,74.83
146,Smart Invigilation System,51.44
147,Cloud-Based Test Management,55.88
148,Real Estate Analytics Dashboard,53.85
149,Exam Scheduling and Proctoring System,94.58
150,Sales Forecasting Tool,80.09
151,E-Commerce Dashboard,86.55
152,Logistics Optimization Platform,96.51
153,IoT Smart Home Controller,65.8
154,Library Automation System,85.88
155,Social Media Analytics,85.6
156,University Admission Portal,81.99
157,AI-based Exam Evaluator,75.45
158,Data Visualization Platform,83.14
159,Healthcare Data Warehouse,83.63
160,Real Estate Analytics Dashboard,81.76
161,Online Examination System,96.96
162,Tourism Recommendation System,71.07
163,Restaurant Ordering System,57.44
164,Sales Forecasting Tool,54.92
165,Data Visualization Platform,70.06
166,Real Estate Analytics Dashboard,74.77
167,Automated Exam Management,50.77
168,Exam Scheduling and Proctoring System,91.73
169,Bank Loan Prediction System,81.18
170,E-Learning and Exam Platform,58.06
171,Student Assessment Portal,62.83
172,IoT Smart Home Controller,65.42
173,Cloud-Based Test Management,71.64
174,Restaurant Ordering System,93.61
175,Exam Result Prediction System,60.31
176,Cloud-Based Test Management,60.12
177,Automated Exam Management,92.67
178,Healthcare Data Warehouse,65.76
179,Online Examination System,88.78
180,Tourism Recommendation System,84.99
181,Exam Result Prediction System,53.62
182,E-Learning and Exam Platform,93.47
183,Cloud-Based Test Management,89.34
184,E-Learning and Exam Platform,96.85
185,Bank Loan Prediction System,53.6
186,Automated Exam Management,90.14
187,School Management System,85.51
188,Social Media Analytics,64.23
189,Inventory Management System,77.83
190,Exam Scheduling and Proctoring System,54.59
191,E-Learning and Exam Platform,64.49
192,Restaurant Ordering System,75.3
193,Exam Result Prediction System,52.42
194,Cloud-Based Test Management,84.94
195,Online Examination System,83.57
196,Customer Feedback Analyzer,83.84
197,Customer Feedback Analyzer,58.07
198,Data Visualization Platform,96.66
199,E-Commerce Dashboard,82.81
200,Exam Scheduling and Proctoring System,85.88
201,Library Automation System,80.62
202,Exam Result Prediction System,86.66
203,Human Resource Management,71.01
204,Customer Feedback Analyzer,70.61
205,Real Estate Analytics Dashboard,93.18
206,Digital Quiz and Result Analyzer,87.03
207,Digital Quiz and Result Analyzer,76.69
208,Data Visualization Platform,99.22
209,Hospital Management System,64.89
210,Human Resource Management,54.81
211,Bank Loan Prediction System,66.29
212,Student Assessment Portal,67.39
213,Customer Feedback Analyzer,66.59
214,E-Commerce Dashboard,77.47
215,Student Assessment Portal,62.31
216,AI-based Exam Evaluator,78.02
217,Customer Feedback Analyzer,81.49
218,Logistics Optimization Platform,76.82
219,Social Media Analytics,59.22
220,Online Examination System,60.86
221,Online Examination System,68.03
222,Automated Exam Management,60.13
223,Restaurant Ordering System,78.83
224,Bank Loan Prediction System,64.8
225,IoT Smart Home Controller,86.55
226,Customer Feedback Analyzer,50.98
227,Exam Result Prediction System,88.06
228,Exam Scheduling and Proctoring System,50.4
229,Tourism Recommendation System,68.84
230,Hospital Management System,92.67
231,Exam Scheduling and Proctoring System,69.15
232,Exam Result Prediction System,63.97
233,Bank Loan Prediction System,64.8
234,Data Visualization Platform,61.73
235,AI-based Exam Evaluator,69.22
236,Bank Loan Prediction System,90.6
237,Social Media Analytics,84.33
238,Real Estate Analytics Dashboard,64.99
239,Smart Parking System,74.31
240,Sales Forecasting Tool,69.06
241,Online Examination System,98.85
242,Social Media Analytics,86.19
243,Human Resource Management,67.37
244,Automated Exam Management,78.56
245,Customer Feedback Analyzer,65.28
246,Cloud-Based Test Management,51.88
247,Library Automation System,58.2
248,Real Estate Analytics Dashboard,90.97
249,AI-based Exam Evaluator,58.1
250,Customer Feedback Analyzer,96.39
251,Tourism Recommendation System,91.16
252,E-Learning and Exam Platform,73.19
253,Employee Attendance Tracker,80.27
254,E-Learning and Exam Platform,76.6
255,Tourism Recommendation System,58.14
256,Online Examination System,96.29
257,E-Commerce Dashboard,55.4
258,Exam Result Prediction System,74.33
259,Employee Attendance Tracker,57.07
260,Cloud-Based Test Management,90.06
261,Smart Invigilation System,55.41
262,Smart Parking System,91.24
263,Online Examination System,57.15
264,E-Commerce Dashboard,85.76
265,Automated Exam Management,66.03
266,Online Examination System,82.72
267,Healthcare Data Warehouse,67.14
268,Restaurant Ordering System,88.65
269,Customer Feedback Analyzer,55.2
270,Exam Result Prediction System,59.34
271,School Management System,65.69
272,School Management System,82.39
273,E-Commerce Dashboard,69.99
274,AI-based Exam Evaluator,84.71
275,AI-based Exam Evaluator,59.25
276,Sales Forecasting Tool,93.97
277,E-Learning and Exam Platform,73.38
278,Online Examination System,69.65
279,Healthcare Data Warehouse,62.46
280,Exam Result Prediction System,96.3
281,E-Learning and Exam Platform,75.17
282,Real Estate Analytics Dashboard,55
283,Online Examination System,86.87
284,IoT Smart Home Controller,76.9
285,Exam Result Prediction System,91.93
286,E-Learning and Exam Platform,81.64
287,Online Examination System,53.67
288,University Admission Portal,67.89
289,Automated Exam Management,69.35
290,Data Visualization Platform,59.83
291,Healthcare Data Warehouse,62.86
292,Cloud-Based Test Management,87.69
293,IoT Smart Home Controller,93.07
294,Exam Result Prediction System,90.89
295,Exam Scheduling and Proctoring System,77.69
296,School Management System,72.6
297,E-Learning and Exam Platform,89.25
298,Human Resource Management,93.13
299,E-Learning and Exam Platform,90.73
300,Hospital Management System,98.8
301,Automated Exam Management,54.83
302,Healthcare Data Warehouse,89.49
303,Exam Scheduling and Proctoring System,72.63
304,Online Examination System,58.2
305,Human Resource Management,94.16
306,Restaurant Ordering System,55.26
307,Inventory Management System,51.8
308,Real Estate Analytics Dashboard,94.08
309,Student Assessment Portal,55.34
310,Exam Result Prediction System,56.56
311,Automated Exam Management,70.2
312,School Management System,76.32
313,Automated Exam Management,73.42
314,Student Assessment Portal,79.03
315,Cloud-Based Test Management,82.77
316,Digital Quiz and Result Analyzer,53.5
317,School Management System,73.64
318,University Admission Portal,60.43
319,Cloud-Based Test Management,59.25
320,Automated Exam Management,82.45
321,E-Learning and Exam Platform,83.2
322,Exam Scheduling and Proctoring System,57.04
323,Data Visualization Platform,85.19
324,E-Commerce Dashboard,58.66
325,IoT Smart Home Controller,50.83
326,School Management System,97.53
327,Restaurant Ordering System,99.8
328,IoT Smart Home Controller,58.88
329,Logistics Optimization Platform,90.39
330,Automated Exam Management,95.42
331,Healthcare Data Warehouse,86.48
332,Smart Parking System,98.98
333,Logistics Optimization Platform,63.46
334,Tourism Recommendation System,89.64
335,IoT Smart Home Controller,84.25
336,Smart Invigilation System,54.78
337,Customer Feedback Analyzer,88.46
338,Hospital Management System,62.14
339,E-Learning and Exam Platform,81.03
340,Online Examination System,61.12
341,Exam Scheduling and Proctoring System,90.27
342,Cloud-Based Test Management,71.4
343,Customer Feedback Analyzer,84.41
344,Employee Attendance Tracker,70.41
345,Real Estate Analytics Dashboard,92.39
346,Smart Invigilation System,93.47
347,Data Visualization Platform,64.8
348,Online Examination System,56.53
349,Customer Feedback Analyzer,97.21
350,Sales Forecasting Tool,67.59
351,Cloud-Based Test Management,84.77
352,University Admission Portal,89.65
353,Human Resource Management,70.68
354,E-Learning and Exam Platform,65.56
355,E-Learning and Exam Platform,96.2
356,E-Learning and Exam Platform,56.75
357,Digital Quiz and Result Analyzer,76.51
358,Inventory Management System,89.81
359,Smart Parking System,77.31
360,E-Commerce Dashboard,59.04
361,Hospital Management System,79.58
362,Cloud-Based Test Management,79.17
363,E-Commerce Dashboard,63.76
364,Digital Quiz and Result Analyzer,77.56
365,Customer Feedback Analyzer,70.91
366,Bank Loan Prediction System,53.95
367,Automated Exam Management,93.4
368,Automated Exam Management,94.31
369,Sales Forecasting Tool,91.66
370,Sales Forecasting Tool,61.04
371,Healthcare Data Warehouse,51.18
372,Customer Feedback Analyzer,94.23
373,Digital Quiz and Result Analyzer,74.8
374,Healthcare Data Warehouse,50.81
375,Real Estate Analytics Dashboard,60.22
376,E-Learning and Exam Platform,83.9
377,Cloud-Based Test Management,72.79
378,Customer Feedback Analyzer,81.03
379,School Management System,52.38
380,University Admission Portal,69.67
381,Healthcare Data Warehouse,83.92
382,Smart Parking System,83.09
383,University Admission Portal,61.26
384,School Management System,52.62
385,Sales Forecasting Tool,59.14
386,Library Automation System,75.11
387,Student Assessment Portal,91.83
388,University Admission Portal,81.81
389,Exam Scheduling and Proctoring System,53.35
390,E-Learning and Exam Platform,58.56
391,Digital Quiz and Result Analyzer,96.8
392,Exam Scheduling and Proctoring System,67.7
393,Hospital Management System,67.2
394,School Management System,64.05
395,University Admission Portal,59.5
396,Cloud-Based Test Management,73.07
397,Bank Loan Prediction System,63.63
398,Student Assessment Portal,87.95
399,Sales Forecasting Tool,53.69
400,Customer Feedback Analyzer,82.2
401,Automated Exam Management,62.03
402,Social Media Analytics,86.05
403,School Management System,72.22
404,Bank Loan Prediction System,73.46
405,Digital Quiz and Result Analyzer,60.79
406,Automated Exam Management,83.53
407,Social Media Analytics,79.86
408,Student Assessment Portal,59.95
409,Exam Scheduling and Proctoring System,89.28
410,Data Visualization Platform,97.97
411,Cloud-Based Test Management,90.56
412,Restaurant Ordering System,95.02
413,Exam Result Prediction System,99.87
414,University Admission Portal,50.59
415,Digital Quiz and Result Analyzer,55.91
416,Real Estate Analytics Dashboard,61.06
417,E-Learning and Exam Platform,90.9
418,University Admission Portal,86.23
419,E-Commerce Dashboard,78.51
420,Hospital Management System,83.73
421,University Admission Portal,85.42
422,AI-based Exam Evaluator,91.07
423,Logistics Optimization Platform,53.62
424,Human Resource Management,80.5
425,Exam Result Prediction System,91.86
426,Restaurant Ordering System,57.03
427,Tourism Recommendation System,59.31
428,Library Automation System,61.82
429,Logistics Optimization Platform,82.59
430,Tourism Recommendation System,93.35
431,E-Learning and Exam Platform,61.79
432,Online Examination System,50.71
433,Smart Invigilation System,98.4
434,Library Automation System,73.75
435,School Management System,58.22
436,AI-based Exam Evaluator,92.69
437,University Admission Portal,55.4
438,Sales Forecasting Tool,62.03
439,Social Media Analytics,86.27
440,Human Resource Management,70.09
441,University Admission Portal,89.47
442,Real Estate Analytics Dashboard,57.41
443,Cloud-Based Test Management,71.07
444,Online Examination System,78.41
445,AI-based Exam Evaluator,86.77
446,Sales Forecasting Tool,86.54
447,Smart Parking System,69.8
448,Human Resource Management,56.15
449,Human Resource Management,75.4
450,Digital Quiz and Result Analyzer,91
451,Cloud-Based Test Management,72.26
452,University Admission Portal,74.07
453,Exam Result Prediction System,73.52
454,Customer Feedback Analyzer,51.53
455,Inventory Management System,99.26
456,IoT Smart Home Controller,72.38
457,AI-based Exam Evaluator,74.3
458,E-Commerce Dashboard,62.35
459,Smart Invigilation System,96.26
460,Exam Scheduling and Proctoring System,71.41
461,Exam Scheduling and Proctoring System,57.84
462,Employee Attendance Tracker,51.4
463,Human Resource Management,57.48
464,Healthcare Data Warehouse,79.62
465,Cloud-Based Test Management,76.1
466,Employee Attendance Tracker,54.23
467,Automated Exam Management,69.94
468,School Management System,53.63
469,E-Commerce Dashboard,95.91
470,Cloud-Based Test Management,77.87
471,Data Visualization Platform,55.17
472,Online Examination System,89.33
473,Sales Forecasting Tool,61.11
474,Healthcare Data Warehouse,58.48
475,Smart Invigilation System,70.17
476,Online Examination System,79.01
477,E-Learning and Exam Platform,64.77
478,Digital Quiz and Result Analyzer,89.52
479,Data Visualization Platform,56.99
480,Inventory Management System,54.43
481,Smart Invigilation System,55.81
482,E-Learning and Exam Platform,83.85
483,Logistics Optimization Platform,79.76
484,Logistics Optimization Platform,93.33
485,Smart Parking System,57.7
486,Bank Loan Prediction System,60.32
487,Customer Feedback Analyzer,54.13
488,Digital Quiz and Result Analyzer,93.68
489,IoT Smart Home Controller,78.87
490,E-Learning and Exam Platform,77.26
491,E-Commerce Dashboard,88.41
492,Student Assessment Portal,97.44
493,AI-based Exam Evaluator,67.9
494,Bank Loan Prediction System,69.11
495,School Management System,80.35
496,Social Media Analytics,65.73
497,Logistics Optimization Platform,89.63
498,Restaurant Ordering System,64.03
499,Bank Loan Prediction System,61.61
500,Hospital Management System,87.79
501,Online Examination System,66.82
502,Exam Scheduling and Proctoring System,61.78
503,E-Learning and Exam Platform,98.6
504,Smart Invigilation System,79.85
505,Human Resource Management,84.86
506,E-Commerce Dashboard,88.73
507,E-Learning and Exam Platform,57.46
508,Hospital Management System,59.42
509,Automated Exam Management,76
510,E-Learning and Exam Platform,91.09
511,Inventory Management System,95.08
512,Automated Exam Management,60.37
513,Cloud-Based Test Management,80.07
514,Student Assessment Portal,87.9
515,Student Assessment Portal,78.23
516,Digital Quiz and Result Analyzer,67.13
517,Student Assessment Portal,67.92
518,E-Learning and Exam Platform,92.22
519,Smart Invigilation System,87.03
520,Student Assessment Portal,57.21
521,Cloud-Based Test Management,89.06
522,Exam Result Prediction System,50.86
523,AI-based Exam Evaluator,69.61
524,Human Resource Management,96.81
525,Exam Result Prediction System,96.82
526,Exam Scheduling and Proctoring System,87.07
527,Social Media Analytics,58.8
528,Student Assessment Portal,59.48
529,Smart Invigilation System,61.21
530,Smart Invigilation System,62.83
531,E-Commerce Dashboard,82.73
532,Logistics Optimization Platform,99.22
533,Data Visualization Platform,64.44
534,Online Examination System,80.19
535,Library Automation System,55.74
536,Cloud-Based Test Management,93.77
537,Library Automation System,85.64
538,Healthcare Data Warehouse,83.24
539,Data Visualization Platform,69.82
540,University Admission Portal,92.37
541,Student Assessment Portal,85.61
542,Student Assessment Portal,81.66
543,Student Assessment Portal,65.65
544,AI-based Exam Evaluator,64.71
545,Bank Loan Prediction System,96.51
546,Social Media Analytics,84.05
547,E-Learning and Exam Platform,51.53
548,Healthcare Data Warehouse,69.22
549,AI-based Exam Evaluator,55.2
550,Student Assessment Portal,92.37
551,Exam Result Prediction System,51.49
552,Exam Result Prediction System,56.62
553,Hospital Management System,81.44
554,Smart Invigilation System,91.53
555,Exam Scheduling and Proctoring System,61.62
556,Sales Forecasting Tool,78.9
557,Tourism Recommendation System,68.91
558,Student Assessment Portal,55.08
559,Exam Result Prediction System,64.15
560,AI-based Exam Evaluator,78.94
561,Hospital Management System,73.72
562,Logistics Optimization Platform,90.12
563,E-Learning and Exam Platform,92.52
564,Smart Parking System,53.75
565,Cloud-Based Test Management,50.33
566,E-Learning and Exam Platform,80.35
567,Hospital Management System,86.99
568,Exam Result Prediction System,51.36
569,Data Visualization Platform,69.63
570,Data Visualization Platform,88.12
571,Exam Result Prediction System,63.95
572,AI-based Exam Evaluator,72.29
573,AI-based Exam Evaluator,83.91
574,Data Visualization Platform,83.2
575,Restaurant Ordering System,56.18
576,AI-based Exam Evaluator,63.4
577,Smart Invigilation System,85.03
578,Exam Scheduling and Proctoring System,81.6
579,Logistics Optimization Platform,85.53
580,E-Commerce Dashboard,88.23
581,Student Assessment Portal,61.44
582,Bank Loan Prediction System,62.94
583,AI-based Exam Evaluator,90.84
584,AI-based Exam Evaluator,62.65
585,Exam Scheduling and Proctoring System,96.61
586,Healthcare Data Warehouse,50.13
587,Online Examination System,86.31
588,Human Resource Management,91.73
589,Healthcare Data Warehouse,67.94
590,Hospital Management System,73.73
591,Exam Scheduling and Proctoring System,76.51
592,Online Examination System,89.65
593,Tourism Recommendation System,83.14
594,Sales Forecasting Tool,60.58
595,Smart Invigilation System,70.78
596,Employee Attendance Tracker,99.68
597,Online Examination System,75.51
598,Student Assessment Portal,70.41
599,Exam Scheduling and Proctoring System,90.93
600,Sales Forecasting Tool,96.65
601,Online Examination System,52.66
602,Restaurant Ordering System,85.33
603,AI-based Exam Evaluator,86.2
604,Online Examination System,93.11
605,Library Automation System,78.54
606,Exam Scheduling and Proctoring System,93.96
607,AI-based Exam Evaluator,99.68
608,Exam Scheduling and Proctoring System,84.97
609,Tourism Recommendation System,57.2
610,Real Estate Analytics Dashboard,95.55
611,Sales Forecasting Tool,62.42
612,Hospital Management System,60.32
613,Exam Result Prediction System,68.54
614,E-Learning and Exam Platform,82.78
615,Bank Loan Prediction System,84.78
616,Online Examination System,76.03
617,AI-based Exam Evaluator,84.83
618,University Admission Portal,97.62
619,Exam Result Prediction System,97.39
620,Healthcare Data Warehouse,53.95
621,Automated Exam Management,57.1
622,Digital Quiz and Result Analyzer,56.14
623,E-Learning and Exam Platform,55.09
624,Smart Invigilation System,51.75
625,Digital Quiz and Result Analyzer,98.04
626,Library Automation System,92.09
627,E-Commerce Dashboard,62.06
628,Exam Scheduling and Proctoring System,53.95
629,AI-based Exam Evaluator,78.41
630,E-Commerce Dashboard,76.56
631,Logistics Optimization Platform,82.56
632,Automated Exam Management,56.32
633,Automated Exam Management,93.71
634,Student Assessment Portal,66.62
635,Exam Result Prediction System,76.83
636,IoT Smart Home Controller,54.85
637,Restaurant Ordering System,95.08
638,AI-based Exam Evaluator,71.36
639,Automated Exam Management,71.59
640,Employee Attendance Tracker,58.28
641,Bank Loan Prediction System,75.39
642,E-Learning and Exam Platform,68.56
643,Automated Exam Management,90.9
644,Smart Parking System,68.35
645,AI-based Exam Evaluator,53.19
646,Hospital Management System,80.11
647,Hospital Management System,97.21
648,E-Learning and Exam Platform,92.81
649,Sales Forecasting Tool,65.06
650,Customer Feedback Analyzer,71.38
651,Digital Quiz and Result Analyzer,89.51
652,Digital Quiz and Result Analyzer,54.35
653,Student Assessment Portal,50.92
654,Data Visualization Platform,61.21
655,Smart Parking System,73.48
656,Inventory Management System,55.48
657,Cloud-Based Test Management,72.32
658,E-Learning and Exam Platform,92.08
659,Logistics Optimization Platform,51.74
660,Student Assessment Portal,71.91
661,Student Assessment Portal,73.07
662,Digital Quiz and Result Analyzer,64.3
663,Library Automation System,83.25
664,Smart Invigilation System,57.95
665,Customer Feedback Analyzer,57.2
666,Logistics Optimization Platform,60.46
667,University Admission Portal,91
668,Automated Exam Management,82.4
669,AI-based Exam Evaluator,77.12
670,Human Resource Management,67.17
671,Tourism Recommendation System,83.75
672,Student Assessment Portal,56.96
673,Smart Invigilation System,75.35
674,Digital Quiz and Result Analyzer,54.74
675,Employee Attendance Tracker,73.1
676,Cloud-Based Test Management,53.71
677,E-Commerce Dashboard,98.63
678,Real Estate Analytics Dashboard,53.97
679,Employee Attendance Tracker,79.56
680,Smart Invigilation System,91.88
681,Exam Scheduling and Proctoring System,54.19
682,AI-based Exam Evaluator,97.15
683,Cloud-Based Test Management,72.21
684,Restaurant Ordering System,88.48
685,AI-based Exam Evaluator,71.76
686,Tourism Recommendation System,93.96
687,Student Assessment Portal,99.38
688,Bank Loan Prediction System,80.49
689,Bank Loan Prediction System,52.94
690,Real Estate Analytics Dashboard,56.25
691,AI-based Exam Evaluator,75.73
692,Tourism Recommendation System,85.78
693,Customer Feedback Analyzer,82.84
694,Restaurant Ordering System,90.23
695,Logistics Optimization Platform,90.41
696,E-Learning and Exam Platform,59.07
697,Customer Feedback Analyzer,82.67
698,Human Resource Management,76.63
699,Library Automation System,82.99
700,Exam Scheduling and Proctoring System,70.66
701,Logistics Optimization Platform,76.17
702,E-Learning and Exam Platform,82.46
703,Exam Result Prediction System,92
704,Exam Scheduling and Proctoring System,96.91
705,AI-based Exam Evaluator,79.23
706,AI-based Exam Evaluator,97.32
707,E-Learning and Exam Platform,73.66
708,Employee Attendance Tracker,55.6
709,AI-based Exam Evaluator,73.29
710,Cloud-Based Test Management,64.26
711,Exam Result Prediction System,58.18
712,E-Learning and Exam Platform,65.59
713,Data Visualization Platform,85.26
714,Automated Exam Management,81.64
715,Inventory Management System,88.71
716,Exam Scheduling and Proctoring System,69.76
717,Smart Invigilation System,80.64
718,Sales Forecasting Tool,69.61
719,Social Media Analytics,68.04
720,E-Learning and Exam Platform,61.08
721,Exam Scheduling and Proctoring System,58.53
722,E-Commerce Dashboard,65.32
723,Student Assessment Portal,89.68
724,Online Examination System,54.39
725,School Management System,95.5
726,School Management System,56.13
727,Bank Loan Prediction System,60.01
728,Inventory Management System,72.94
729,Smart Parking System,84.65
730,E-Commerce Dashboard,79.82
731,AI-based Exam Evaluator,76.47
732,Social Media Analytics,93.21
733,Bank Loan Prediction System,62.18
734,Exam Result Prediction System,61.5
735,Restaurant Ordering System,85.74
736,E-Commerce Dashboard,62.9
737,Customer Feedback Analyzer,63.55
738,Exam Result Prediction System,74.8
739,Exam Result Prediction System,69.41
740,Smart Invigilation System,62.6
741,Exam Result Prediction System,71.47
742,IoT Smart Home Controller,65.19
743,Sales Forecasting Tool,91.51
744,Real Estate Analytics Dashboard,76.8
745,University Admission Portal,97.64
746,AI-based Exam Evaluator,68.32
747,Smart Parking System,99.17
748,Smart Invigilation System,92.69
749,Data Visualization Platform,78.08
750,Cloud-Based Test Management,61.88
751,Automated Exam Management,63.3
752,Real Estate Analytics Dashboard,81.7
753,Healthcare Data Warehouse,74.4
754,Student Assessment Portal,61
755,Inventory Management System,57.59
756,Hospital Management System,74.3
757,Digital Quiz and Result Analyzer,51.94
758,Automated Exam Management,90.33
759,AI-based Exam Evaluator,88.45
760,Student Assessment Portal,79.7
761,Hospital Management System,68.69
762,Restaurant Ordering System,64.19
763,Inventory Management System,91.5
764,Exam Scheduling and Proctoring System,53.24
765,Real Estate Analytics Dashboard,71.38
766,AI-based Exam Evaluator,94.23
767,Automated Exam Management,93.49
768,Automated Exam Management,94.15
769,AI-based Exam Evaluator,92.76
770,Real Estate Analytics Dashboard,65.26
771,University Admission Portal,82.2
772,Data Visualization Platform,95.26
773,Sales Forecasting Tool,70.91
774,Digital Quiz and Result Analyzer,55.1
775,Customer Feedback Analyzer,81.33
776,Student Assessment Portal,54.48
777,E-Commerce Dashboard,66.81
778,Student Assessment Portal,67.79
779,Smart Invigilation System,99.01
780,Automated Exam Management,57.93
781,Online Examination System,82.36
782,School Management System,60.09
783,Social Media Analytics,95.57
784,University Admission Portal,87.53
785,Smart Invigilation System,66.75
786,Healthcare Data Warehouse,56.63
787,Online Examination System,91.81
788,IoT Smart Home Controller,59.41
789,Inventory Management System,80.95
790,Digital Quiz and Result Analyzer,67.71
791,Exam Result Prediction System,86.12
792,Digital Quiz and Result Analyzer,74.69
793,Exam Scheduling and Proctoring System,68.99
794,IoT Smart Home Controller,54.19
795,Healthcare Data Warehouse,94.5
796,E-Learning and Exam Platform,80.3
797,Hospital Management System,56.25
798,E-Learning and Exam Platform,62.79
799,Restaurant Ordering System,65.17
800,Cloud-Based Test Management,51.36
801,Healthcare Data Warehouse,66.96
802,E-Learning and Exam Platform,89.47
803,Exam Result Prediction System,95.92
804,E-Learning and Exam Platform,73.59
805,Automated Exam Management,91.9
806,Social Media Analytics,83.35
807,Logistics Optimization Platform,77.43
808,Logistics Optimization Platform,74.68
809,Employee Attendance Tracker,61.29
810,Human Resource Management,83.32
811,Data Visualization Platform,78.77
812,Student Assessment Portal,99.15
813,Employee Attendance Tracker,77.22
814,Smart Invigilation System,64.2
815,AI-based Exam Evaluator,69.93
816,Restaurant Ordering System,85.91
817,Exam Scheduling and Proctoring System,66.35
