ex_ID,q_ID
28,6542
28,6569
28,6545
28,6554
28,6555
29,1666
29,1660
29,1677
29,1652
29,1672
29,1680
29,1679
29,1675
29,1654
29,1669
30,7783
30,7793
30,7797
30,7788
30,7777
30,7779
30,7796
30,7772
30,7774
30,7789
31,3851
31,3870
31,3869
31,3863
31,3865
31,3847
31,3859
31,3855
31,3852
31,3848
32,4473
32,4484
32,4477
32,4472
32,4481
32,4500
32,4495
32,4498
32,4491
32,4480
33,7295
33,7310
33,7313
33,7316
33,7315
33,7293
33,7318
33,7296
33,7305
33,7301
34,9939
34,9943
34,9951
34,9938
34,9931
34,9934
34,9940
34,9956
34,9933
34,9948
35,5714
35,5716
35,5701
35,5730
35,5729
35,5720
35,5708
35,5707
35,5709
35,5703
36,1513
36,1504
36,1508
36,1522
36,1530
36,1520
36,1516
36,1507
36,1511
36,1517
37,4595
37,4597
37,4599
37,4612
37,4606
37,4598
37,4615
37,4603
37,4613
37,4591
38,7868
38,7877
38,7889
38,7864
38,7865
38,7861
38,7876
38,7869
38,7878
38,7866
39,3064
39,3078
39,3073
39,3079
39,3085
39,3071
39,3063
39,3075
39,3081
39,3086
40,8483
40,8489
40,8490
40,8479
40,8477
40,8488
40,8470
40,8475
40,8463
40,8472
41,5197
41,5219
41,5213
41,5199
41,5191
41,5206
41,5204
41,5216
41,5208
41,5211
42,1137
42,1130
42,1119
42,1128
42,1131
42,1126
42,1140
42,1129
42,1133
42,1132
43,1342
43,1330
43,1327
43,1341
43,1350
43,1340
43,1324
43,1345
43,1349
43,1339
44,4637
44,4631
44,4635
44,4649
44,4625
44,4622
44,4642
44,4643
44,4629
44,4632
45,7163
45,7167
45,7154
45,7152
45,7142
45,7164
45,7157
45,7162
45,7156
45,7158
46,8083
46,8071
46,8099
46,8098
46,8081
46,8080
46,8094
46,8086
46,8084
46,8082
47,2167
47,2187
47,2163
47,2190
47,2177
47,2162
47,2169
47,2176
47,2165
47,2180
48,3733
48,3736
48,3748
48,3730
48,3732
48,3738
48,3722
48,3737
48,3743
48,3745
49,8040
49,8019
49,8023
49,8020
49,8026
49,8039
49,8029
49,8024
49,8031
49,8025
50,2374
50,2390
50,2379
50,2375
50,2391
50,2395
50,2380
50,2381
50,2384
50,2376
51,1844
51,1852
51,1848
51,1839
51,1834
51,1833
51,1840
51,1856
51,1838
51,1836
52,6790
52,6797
52,6796
52,6793
52,6806
52,6786
52,6799
52,6789
52,6784
52,6791
53,1462
53,1443
53,1467
53,1455
53,1458
53,1470
53,1453
53,1451
53,1457
53,1448
54,5357
54,5347
54,5365
54,5362
54,5348
54,5353
54,5361
54,5356
54,5367
54,5354
55,8802
55,8816
55,8791
55,8800
55,8811
55,8793
55,8795
55,8805
55,8819
55,8794
56,3003
56,3011
56,3015
56,3019
56,3016
56,3018
56,3020
56,3030
56,3014
56,3026
57,871
57,873
57,889
57,899
57,897
57,887
57,895
57,890
57,896
57,875
58,7919
58,7901
58,7892
58,7908
58,7902
58,7915
58,7904
58,7907
58,7894
58,7893
59,2842
59,2833
59,2847
59,2823
59,2824
59,2829
59,2849
59,2834
59,2841
59,2831
60,508
60,485
60,481
60,486
60,503
60,499
60,509
60,505
60,492
60,484
61,1818
61,1823
61,1822
61,1830
61,1819
61,1814
61,1825
61,1820
61,1821
61,1810
62,803
62,808
62,788
62,809
62,782
62,804
62,786
62,799
62,807
62,791
63,3471
63,3465
63,3459
63,3472
63,3466
63,3477
63,3460
63,3464
63,3480
63,3467
64,10248
64,10250
64,10233
64,10238
64,10241
64,10242
64,10234
64,10245
64,10260
64,10249
65,8031
65,8017
65,8024
65,8014
65,8032
65,8035
65,8029
65,8026
65,8018
65,8011
66,5151
66,5150
66,5144
66,5135
66,5143
66,5137
66,5136
66,5153
66,5133
66,5131
67,7539
67,7535
67,7554
67,7536
67,7533
67,7532
67,7558
67,7557
67,7546
67,7537
68,6480
68,6476
68,6464
68,6457
68,6465
68,6454
68,6472
68,6455
68,6460
68,6459
69,3550
69,3559
69,3548
69,3552
69,3542
69,3555
69,3554
69,3556
69,3569
69,3563
70,5368
70,5345
70,5360
70,5367
70,5356
70,5359
70,5362
70,5350
70,5351
70,5346
71,9192
71,9191
71,9184
71,9197
71,9201
71,9196
71,9209
71,9183
71,9187
71,9202
72,7425
72,7435
72,7421
72,7430
72,7427
72,7429
72,7439
72,7428
72,7438
72,7431
73,6730
73,6744
73,6738
73,6739
73,6736
73,6732
73,6743
73,6742
73,6725
73,6728
74,6801
74,6800
74,6797
74,6803
74,6784
74,6781
74,6795
74,6792
74,6782
74,6793
75,5379
75,5371
75,5376
75,5391
75,5380
75,5383
75,5392
75,5396
75,5375
75,5400
76,3660
76,3650
76,3646
76,3638
76,3631
76,3645
76,3637
76,3633
76,3656
76,3648
77,6058
77,6033
77,6041
77,6035
77,6048
77,6043
77,6054
77,6037
77,6036
77,6049
78,5521
78,5525
78,5548
78,5536
78,5547
78,5542
78,5545
78,5539
78,5524
78,5534
79,70
79,83
79,63
79,74
79,88
79,68
79,86
79,79
79,90
79,72
80,7416
80,7424
80,7427
80,7420
80,7433
80,7421
80,7412
80,7428
80,7422
80,7419
81,2936
81,2925
81,2914
81,2932
81,2934
81,2940
81,2913
81,2929
81,2939
81,2921
82,8110
82,8101
82,8108
82,8128
82,8129
82,8111
82,8113
82,8123
82,8103
82,8107
83,9941
83,9950
83,9960
83,9955
83,9958
83,9947
83,9953
83,9956
83,9952
83,9954
84,3163
84,3180
84,3162
84,3178
84,3157
84,3165
84,3171
84,3177
84,3173
84,3172
85,6397
85,6419
85,6401
85,6404
85,6409
85,6416
85,6417
85,6406
85,6394
85,6399
86,2483
86,2480
86,2465
86,2470
86,2464
86,2481
86,2467
86,2473
86,2462
86,2487
87,2895
87,2890
87,2901
87,2894
87,2904
87,2907
87,2882
87,2898
87,2881
87,2891
88,2717
88,2704
88,2703
88,2726
88,2719
88,2709
88,2721
88,2723
88,2714
88,2728
89,1514
89,1508
89,1503
89,1527
89,1516
89,1504
89,1519
89,1506
89,1525
89,1501
90,2913
90,2935
90,2923
90,2927
90,2914
90,2920
90,2915
90,2921
90,2929
90,2911
91,5908
91,5901
91,5897
91,5907
91,5884
91,5900
91,5888
91,5894
91,5896
91,5904
92,5431
92,5454
92,5449
92,5447
92,5452
92,5450
92,5434
92,5437
92,5441
92,5448
93,3388
93,3370
93,3367
93,3361
93,3377
93,3369
93,3385
93,3368
93,3390
93,3362
94,9930
94,9924
94,9905
94,9906
94,9925
94,9914
94,9909
94,9921
94,9915
94,9920
95,4276
95,4274
95,4278
95,4288
95,4290
95,4264
95,4268
95,4269
95,4266
95,4275
96,877
96,885
96,900
96,899
96,876
96,890
96,873
96,884
96,874
96,878
97,3096
97,3094
97,3091
97,3110
97,3116
97,3098
97,3119
97,3102
97,3115
97,3117
98,1493
98,1490
98,1472
98,1482
98,1500
98,1487
98,1485
98,1492
98,1491
98,1498
99,4074
99,4060
99,4075
99,4061
99,4067
99,4068
99,4078
99,4066
99,4062
99,4051
100,3258
100,3267
100,3262
100,3265
100,3263
100,3253
100,3255
100,3259
100,3261
100,3251
101,232
101,236
101,228
101,240
101,218
101,226
101,225
101,231
101,233
101,222
102,5412
102,5417
102,5407
102,5418
102,5414
102,5405
102,5421
102,5408
102,5413
102,5404
103,9226
103,9217
103,9224
103,9236
103,9214
103,9211
103,9240
103,9215
103,9212
103,9238
104,5495
104,5515
104,5516
104,5509
104,5502
104,5498
104,5510
104,5507
104,5496
104,5505
105,5569
105,5551
105,5579
105,5576
105,5558
105,5554
105,5571
105,5573
105,5575
105,5562
106,169
106,157
106,161
106,165
106,153
106,175
106,166
106,168
106,176
106,159
107,2070
107,2045
107,2057
107,2051
107,2044
107,2049
107,2042
107,2053
107,2062
107,2041
108,5022
108,5019
108,5032
108,5033
108,5016
108,5011
108,5015
108,5025
108,5028
108,5035
109,1947
109,1948
109,1936
109,1924
109,1932
109,1941
109,1935
109,1921
109,1923
109,1927
110,5001
110,4983
110,4990
110,5008
110,4989
110,4998
110,5003
110,4992
110,5000
110,4986
111,2071
111,2095
111,2081
111,2089
111,2080
111,2079
111,2078
111,2100
111,2082
111,2072
112,3397
112,3408
112,3420
112,3398
112,3418
112,3419
112,3416
112,3412
112,3410
112,3401
113,9350
113,9355
113,9347
113,9353
113,9334
113,9333
113,9357
113,9344
113,9338
113,9342
114,3919
114,3911
114,3902
114,3907
114,3927
114,3930
114,3910
114,3920
114,3913
114,3925
115,9360
115,9339
115,9341
115,9332
115,9350
115,9358
115,9356
115,9336
115,9345
115,9359
116,1952
116,1962
116,1970
116,1975
116,1966
116,1967
116,1957
116,1980
116,1969
116,1971
117,3297
117,3277
117,3273
117,3290
117,3286
117,3295
117,3285
117,3294
117,3271
117,3292
118,5312
118,5334
118,5319
118,5330
118,5324
118,5313
118,5316
118,5317
118,5320
118,5323
119,9099
119,9119
119,9114
119,9118
119,9094
119,9104
119,9097
119,9100
119,9106
119,9093
120,6649
120,6648
120,6659
120,6643
120,6645
120,6644
120,6635
120,6658
120,6652
120,6639
121,7670
121,7654
121,7680
121,7652
121,7662
121,7677
121,7675
121,7656
121,7659
121,7661
122,5271
122,5266
122,5264
122,5270
122,5275
122,5262
122,5269
122,5258
122,5276
122,5252
123,10405
123,10384
123,10410
123,10404
123,10400
123,10408
123,10394
123,10387
123,10407
123,10396
124,6091
124,6117
124,6120
124,6106
124,6102
124,6099
124,6092
124,6115
124,6105
124,6101
125,7600
125,7598
125,7611
125,7595
125,7615
125,7599
125,7593
125,7601
125,7608
125,7592
126,3573
126,3576
126,3597
126,3571
126,3580
126,3583
126,3592
126,3595
126,3581
126,3590
127,372
127,368
127,369
127,375
127,380
127,362
127,367
127,385
127,371
127,387
128,7001
128,6991
128,7009
128,6995
128,6992
128,7003
128,7008
128,7006
128,7013
128,7018
129,6654
129,6640
129,6635
129,6643
129,6658
129,6650
129,6652
129,6648
129,6641
129,6651
130,7776
130,7798
130,7797
130,7783
130,7774
130,7781
130,7772
130,7799
130,7795
130,7800
131,1623
131,1639
131,1627
131,1631
131,1637
131,1641
131,1628
131,1646
131,1626
131,1648
132,2581
132,2589
132,2603
132,2585
132,2608
132,2600
132,2590
132,2598
132,2607
132,2591
133,5049
133,5068
133,5065
133,5060
133,5054
133,5059
133,5057
133,5044
133,5055
133,5051
134,7018
134,7009
134,6996
134,7013
134,7012
134,7006
134,7014
134,7017
134,6998
134,6995
135,10438
135,10437
135,10428
135,10415
135,10433
135,10435
135,10423
135,10426
135,10421
135,10440
136,4080
136,4051
136,4069
136,4078
136,4067
136,4072
136,4053
136,4057
136,4063
136,4056
137,6386
137,6363
137,6385
137,6375
137,6380
137,6362
137,6377
137,6379
137,6370
137,6381
138,2094
138,2078
138,2077
138,2099
138,2084
138,2085
138,2080
138,2092
138,2081
138,2086
139,1790
139,1795
139,1780
139,1800
139,1793
139,1798
139,1783
139,1787
139,1786
139,1797
140,5441
140,5456
140,5458
140,5443
140,5440
140,5432
140,5435
140,5449
140,5448
140,5459
141,1113
141,1134
141,1125
141,1120
141,1124
141,1115
141,1111
141,1133
141,1112
141,1130
142,9288
142,9297
142,9278
142,9285
142,9289
142,9276
142,9290
142,9299
142,9284
142,9275
143,4849
143,4855
143,4851
143,4850
143,4860
143,4832
143,4847
143,4834
143,4858
143,4844
144,7117
144,7125
144,7133
144,7139
144,7116
144,7138
144,7135
144,7120
144,7129
144,7118
145,2285
145,2310
145,2290
145,2297
145,2295
145,2281
145,2298
145,2294
145,2291
145,2305
146,7475
146,7472
146,7477
146,7498
146,7485
146,7481
146,7479
146,7491
146,7494
146,7490
147,4554
147,4546
147,4557
147,4555
147,4547
147,4559
147,4537
147,4538
147,4532
147,4545
148,6939
148,6937
148,6935
148,6945
148,6947
148,6951
148,6932
148,6954
148,6952
148,6953
149,10461
149,10462
149,10446
149,10470
149,10466
149,10444
149,10442
149,10450
149,10457
149,10445
150,8903
150,8904
150,8889
150,8886
150,8895
150,8888
150,8883
150,8907
150,8884
150,8910
151,8728
151,8729
151,8707
151,8720
151,8724
151,8704
151,8714
151,8716
151,8713
151,8701
152,862
152,853
152,848
152,858
152,854
152,843
152,841
152,846
152,863
152,847
153,7604
153,7612
153,7599
153,7613
153,7593
153,7601
153,7597
153,7595
153,7603
153,7614
154,8396
154,8392
154,8380
154,8379
154,8377
154,8398
154,8397
154,8395
154,8393
154,8391
155,8722
155,8724
155,8714
155,8702
155,8708
155,8707
155,8712
155,8719
155,8723
155,8730
156,874
156,880
156,889
156,895
156,888
156,899
156,897
156,892
156,896
156,881
157,2855
157,2879
157,2872
157,2860
157,2859
157,2877
157,2856
157,2858
157,2866
157,2874
158,7923
158,7933
158,7935
158,7943
158,7941
158,7926
158,7939
158,7931
158,7927
158,7945
159,1638
159,1645
159,1641
159,1627
159,1630
159,1628
159,1637
159,1642
159,1633
159,1625
160,10210
160,10224
160,10216
160,10204
160,10222
160,10209
160,10223
160,10225
160,10211
160,10229
161,8179
161,8176
161,8189
161,8174
161,8170
161,8167
161,8181
161,8171
161,8178
161,8164
162,7051
162,7080
162,7061
162,7058
162,7053
162,7078
162,7071
162,7079
162,7062
162,7057
163,5061
163,5055
163,5070
163,5067
163,5057
163,5044
163,5045
163,5049
163,5062
163,5066
164,1591
164,1617
164,1601
164,1596
164,1598
164,1610
164,1593
164,1605
164,1616
164,1609
165,1182
165,1192
165,1173
165,1200
165,1181
165,1198
165,1186
165,1177
165,1193
165,1175
166,5653
166,5652
166,5641
166,5663
166,5642
166,5662
166,5648
166,5657
166,5655
166,5651
167,6351
167,6354
167,6340
167,6357
167,6353
167,6337
167,6352
167,6347
167,6335
167,6344
168,1684
168,1681
168,1699
168,1688
168,1707
168,1692
168,1698
168,1708
168,1706
168,1687
169,9231
169,9218
169,9236
169,9233
169,9211
169,9229
169,9220
169,9232
169,9216
169,9221
170,9620
170,9604
170,9617
170,9628
170,9624
170,9610
170,9629
170,9625
170,9603
170,9618
171,1945
171,1941
171,1950
171,1939
171,1935
171,1930
171,1932
171,1943
171,1936
171,1924
172,2287
172,2289
172,2293
172,2294
172,2284
172,2290
172,2295
172,2285
172,2299
172,2308
173,6572
173,6593
173,6574
173,6580
173,6577
173,6589
173,6581
173,6590
173,6582
173,6583
174,9396
174,9410
174,9411
174,9408
174,9401
174,9395
174,9404
174,9420
174,9417
174,9407
175,1952
175,1955
175,1974
175,1953
175,1979
175,1980
175,1966
175,1956
175,1965
175,1964
176,3274
176,3273
176,3293
176,3282
176,3277
176,3278
176,3297
176,3292
176,3300
176,3291
177,1139
177,1124
177,1133
177,1120
177,1115
177,1126
177,1140
177,1114
177,1123
177,1112
178,6110
178,6104
178,6105
178,6093
178,6091
178,6099
178,6111
178,6114
178,6100
178,6098
179,7982
179,7984
179,7990
179,8007
179,7981
179,8005
179,8008
179,7985
179,8004
179,7989
180,7324
180,7326
180,7348
180,7327
180,7339
180,7325
180,7333
180,7349
180,7332
180,7346
181,10027
181,10036
181,10035
181,10034
181,10041
181,10032
181,10042
181,10023
181,10045
181,10047
182,5996
182,6000
182,5974
182,5984
182,5995
182,5979
182,5991
182,5981
182,5997
182,5988
183,4977
183,4962
183,4967
183,4978
183,4980
183,4964
183,4972
183,4979
183,4960
183,4969
184,1355
184,1362
184,1364
184,1366
184,1363
184,1376
184,1352
184,1365
184,1374
184,1377
185,1312
185,1301
185,1311
185,1297
185,1318
185,1310
185,1291
185,1306
185,1313
185,1296
186,8742
186,8756
186,8747
186,8731
186,8750
186,8735
186,8738
186,8760
186,8737
186,8736
187,8391
187,8378
187,8399
187,8389
187,8392
187,8382
187,8396
187,8377
187,8383
187,8384
188,7254
188,7252
188,7249
188,7234
188,7241
188,7247
188,7260
188,7231
188,7256
188,7240
189,9313
189,9307
189,9325
189,9324
189,9312
189,9310
189,9322
189,9309
189,9316
189,9318
190,2981
190,2983
190,2987
190,2979
190,2990
190,2998
190,2976
190,2999
190,2980
190,2971
191,9271
191,9288
191,9280
191,9292
191,9282
191,9276
191,9286
191,9291
191,9277
191,9278
192,9675
192,9676
192,9666
192,9688
192,9681
192,9665
192,9680
192,9682
192,9686
192,9684
193,5842
193,5840
193,5821
193,5825
193,5834
193,5831
193,5830
193,5849
193,5836
193,5832
194,7507
194,7516
194,7518
194,7504
194,7524
194,7508
194,7511
194,7501
194,7525
194,7510
195,7641
195,7643
195,7631
195,7650
195,7632
195,7647
195,7628
195,7626
195,7630
195,7648
196,8022
196,8035
196,8036
196,8015
196,8012
196,8017
196,8040
196,8037
196,8011
196,8018
197,6677
197,6683
197,6684
197,6687
197,6681
197,6661
197,6686
197,6663
197,6672
197,6678
198,2360
198,2354
198,2348
198,2358
198,2347
198,2357
198,2355
198,2370
198,2345
198,2351
199,23
199,15
199,20
199,3
199,14
199,13
199,16
199,26
199,21
199,19
200,8810
200,8793
200,8804
200,8797
200,8794
200,8807
200,8817
200,8808
200,8791
200,8814
201,6229
201,6234
201,6221
201,6232
201,6223
201,6219
201,6218
201,6239
201,6240
201,6235
202,8835
202,8848
202,8839
202,8822
202,8832
202,8828
202,8831
202,8823
202,8826
202,8829
203,715
203,708
203,717
203,718
203,709
203,700
203,694
203,696
203,701
203,692
204,2015
204,2031
204,2032
204,2023
204,2033
204,2022
204,2011
204,2034
204,2030
204,2028
205,8706
205,8704
205,8703
205,8709
205,8720
205,8711
205,8714
205,8712
205,8726
205,8728
206,663
206,668
206,666
206,667
206,678
206,674
206,681
206,670
206,684
206,669
207,5918
207,5930
207,5940
207,5914
207,5936
207,5916
207,5915
207,5920
207,5928
207,5927
208,8251
208,8271
208,8269
208,8255
208,8273
208,8257
208,8264
208,8259
208,8275
208,8253
209,869
209,846
209,858
209,859
209,864
209,852
209,843
209,841
209,862
209,853
210,4530
210,4524
210,4520
210,4502
210,4529
210,4518
210,4501
210,4522
210,4515
210,4508
211,1917
211,1898
211,1915
211,1911
211,1919
211,1913
211,1903
211,1897
211,1894
211,1895
212,5187
212,5167
212,5164
212,5174
212,5170
212,5176
212,5177
212,5171
212,5173
212,5169
213,8132
213,8137
213,8144
213,8151
213,8157
213,8160
213,8139
213,8156
213,8153
213,8135
214,4388
214,4387
214,4409
214,4401
214,4381
214,4408
214,4406
214,4392
214,4382
214,4410
215,9368
215,9388
215,9361
215,9376
215,9390
215,9363
215,9380
215,9382
215,9375
215,9367
216,5001
216,5008
216,5009
216,4985
216,4994
216,4983
216,4996
216,4997
216,4991
216,5000
217,10147
217,10149
217,10168
217,10162
217,10167
217,10141
217,10155
217,10159
217,10150
217,10154
218,8076
218,8090
218,8072
218,8082
218,8093
218,8087
218,8096
218,8099
218,8100
218,8074
219,9375
219,9381
219,9371
219,9385
219,9387
219,9370
219,9378
219,9373
219,9386
219,9369
220,8033
220,8039
220,8025
220,8029
220,8022
220,8030
220,8034
220,8019
220,8011
220,8017
221,7836
221,7856
221,7841
221,7851
221,7857
221,7835
221,7833
221,7859
221,7834
221,7850
222,6010
222,6002
222,6011
222,6020
222,6021
222,6014
222,6022
222,6027
222,6029
222,6009
223,3039
223,3047
223,3059
223,3053
223,3057
223,3048
223,3037
223,3042
223,3034
223,3035
224,1961
224,1969
224,1955
224,1964
224,1959
224,1962
224,1953
224,1956
224,1957
224,1952
225,7554
225,7536
225,7539
225,7559
225,7540
225,7557
225,7542
225,7534
225,7533
225,7538
226,8585
226,8587
226,8598
226,8599
226,8593
226,8584
226,8586
226,8606
226,8590
226,8588
227,9928
227,9904
227,9914
227,9902
227,9926
227,9920
227,9927
227,9912
227,9910
227,9915
228,1080
228,1071
228,1066
228,1058
228,1060
228,1077
228,1064
228,1075
228,1074
228,1072
229,4185
229,4188
229,4199
229,4197
229,4200
229,4171
229,4186
229,4191
229,4184
229,4178
230,8325
230,8323
230,8337
230,8314
230,8317
230,8327
230,8312
230,8316
230,8321
230,8331
231,6088
231,6090
231,6067
231,6087
231,6066
231,6086
231,6064
231,6075
231,6080
231,6085
232,10477
232,10489
232,10499
232,10500
232,10481
232,10494
232,10491
232,10488
232,10478
232,10475
233,4232
233,4242
233,4260
233,4231
233,4236
233,4239
233,4255
233,4250
233,4245
233,4246
234,2110
234,2117
234,2129
234,2101
234,2130
234,2127
234,2124
234,2104
234,2111
234,2128
235,1609
235,1594
235,1613
235,1607
235,1593
235,1601
235,1620
235,1614
235,1606
235,1596
236,4368
236,4364
236,4352
236,4358
236,4377
236,4367
236,4370
236,4371
236,4374
236,4359
237,5245
237,5232
237,5243
237,5241
237,5239
237,5236
237,5224
237,5231
237,5240
237,5242
238,4026
238,4022
238,4038
238,4040
238,4036
238,4044
238,4025
238,4029
238,4028
238,4030
239,2420
239,2413
239,2428
239,2421
239,2402
239,2419
239,2408
239,2417
239,2416
239,2426
240,794
240,786
240,790
240,781
240,785
240,792
240,799
240,803
240,804
240,801
241,901
241,927
241,915
241,917
241,903
241,916
241,922
241,920
241,909
241,908
242,5421
242,5405
242,5419
242,5415
242,5403
242,5413
242,5407
242,5427
242,5417
242,5426
243,9208
243,9188
243,9202
243,9181
243,9186
243,9201
243,9191
243,9192
243,9204
243,9184
244,6380
244,6361
244,6385
244,6379
244,6368
244,6386
244,6390
244,6389
244,6364
244,6374
245,191
245,181
245,200
245,209
245,208
245,203
245,182
245,197
245,183
245,199
246,9451
246,9473
246,9459
246,9462
246,9458
246,9474
246,9461
246,9477
246,9478
246,9457
247,10293
247,10308
247,10291
247,10298
247,10302
247,10300
247,10303
247,10314
247,10312
247,10304
248,6
248,30
248,17
248,22
248,27
248,16
248,13
248,24
248,14
248,15
249,1020
249,1013
249,995
249,996
249,1003
249,1015
249,999
249,1018
249,1014
249,1006
250,5643
250,5658
250,5659
250,5657
250,5647
250,5663
250,5669
250,5664
250,5652
250,5654
251,8601
251,8583
251,8591
251,8608
251,8609
251,8586
251,8607
251,8595
251,8588
251,8603
252,2049
252,2059
252,2053
252,2041
252,2068
252,2056
252,2060
252,2070
252,2058
252,2054
253,6040
253,6042
253,6032
253,6047
253,6039
253,6051
253,6056
253,6044
253,6052
253,6037
254,10457
254,10451
254,10470
254,10458
254,10468
254,10442
254,10443
254,10446
254,10450
254,10452
255,8370
255,8341
255,8366
255,8344
255,8343
255,8351
255,8355
255,8342
255,8352
255,8368
256,1884
256,1882
256,1862
256,1872
256,1866
256,1876
256,1861
256,1878
256,1885
256,1864
257,953
257,947
257,949
257,938
257,942
257,950
257,944
257,956
257,960
257,954
258,4110
258,4082
258,4098
258,4104
258,4081
258,4094
258,4085
258,4097
258,4109
258,4096
259,2487
259,2480
259,2489
259,2465
259,2490
259,2476
259,2473
259,2469
259,2468
259,2463
260,7230
260,7215
260,7208
260,7203
260,7217
260,7202
260,7218
260,7222
260,7220
260,7209
261,6007
261,6030
261,6012
261,6021
261,6002
261,6029
261,6011
261,6027
261,6005
261,6010
262,194
262,201
262,188
262,208
262,204
262,193
262,199
262,183
262,191
262,200
263,6722
263,6742
263,6732
263,6735
263,6739
263,6730
263,6731
263,6726
263,6749
263,6728
264,1243
264,1249
264,1253
264,1231
264,1259
264,1250
264,1238
264,1252
264,1242
264,1232
265,869
265,842
265,843
265,856
265,855
265,844
265,854
265,867
265,849
265,847
266,6432
266,6429
266,6424
266,6438
266,6423
266,6445
266,6434
266,6450
266,6448
266,6437
267,4201
267,4207
267,4206
267,4205
267,4223
267,4208
267,4210
267,4221
267,4222
267,4202
268,1749
268,1767
268,1746
268,1751
268,1750
268,1754
268,1764
268,1742
268,1741
268,1752
269,8014
269,8011
269,8034
269,8028
269,8038
269,8039
269,8013
269,8018
269,8021
269,8040
270,5780
270,5762
270,5761
270,5778
270,5765
270,5774
270,5769
270,5771
270,5764
270,5784
271,5652
271,5667
271,5660
271,5644
271,5657
271,5659
271,5651
271,5666
271,5664
271,5650
272,3170
272,3167
272,3171
272,3169
272,3174
272,3151
272,3157
272,3160
272,3158
272,3153
273,4773
273,4781
273,4785
273,4795
273,4800
273,4771
273,4799
273,4790
273,4787
273,4797
274,5960
274,5969
274,5961
274,5956
274,5963
274,5966
274,5955
274,5944
274,5947
274,5946
275,520
275,528
275,537
275,514
275,534
275,513
275,530
275,515
275,529
275,525
276,9093
276,9116
276,9112
276,9092
276,9119
276,9114
276,9104
276,9102
276,9101
276,9111
277,6474
277,6468
277,6472
277,6460
277,6475
277,6465
277,6476
277,6462
277,6469
277,6455
278,5339
278,5337
278,5340
278,5316
278,5325
278,5313
278,5320
278,5329
278,5314
278,5331
279,7115
279,7131
279,7117
279,7122
279,7132
279,7124
279,7138
279,7118
279,7128
279,7133
280,6964
280,6968
280,6979
280,6981
280,6973
280,6984
280,6965
280,6977
280,6967
280,6978
281,8925
281,8913
281,8932
281,8923
281,8915
281,8933
281,8930
281,8928
281,8929
281,8938
282,9664
282,9678
282,9680
282,9667
282,9663
282,9689
282,9661
282,9674
282,9673
282,9677
283,9691
283,9694
283,9714
283,9706
283,9701
283,9698
283,9715
283,9693
283,9696
283,9705
284,4393
284,4408
284,4407
284,4398
284,4390
284,4397
284,4403
284,4395
284,4387
284,4406
