ba_ID,ex_ID,BatchExamDate
22,3764,12/9/1995
22,3911,1/12/1996
22,2869,12/21/1995
22,3781,10/5/1995
22,2267,5/23/1996
22,3059,3/25/1996
23,198,6/8/1996
23,2241,3/15/1996
23,2298,10/26/1995
23,3142,2/19/1996
23,3180,3/23/1996
23,1716,5/29/1996
23,2557,3/18/1996
23,1062,10/3/1995
23,2803,1/1/1996
23,4432,3/17/1996
23,2885,6/21/1996
23,3483,11/30/1995
24,84,1/3/1996
24,1630,1/21/1996
24,2128,2/13/1996
24,843,2/11/1996
24,2845,6/21/1996
24,2696,4/17/1996
24,641,11/15/1995
24,4872,6/15/1996
24,3263,11/27/1995
24,3560,5/21/1996
24,4727,3/9/1996
24,4587,12/15/1995
24,4740,2/14/1996
25,686,12/13/1995
25,2100,5/2/1996
25,3107,10/13/1995
25,3746,12/21/1995
25,628,4/4/1996
26,479,12/21/1995
26,533,12/10/1995
26,1592,3/2/1996
26,2992,4/10/1996
26,3090,4/29/1996
26,3626,1/4/1996
26,4091,2/23/1996
26,4596,2/11/1996
27,102,12/23/1995
27,1354,2/9/1996
27,1755,4/23/1996
27,3680,11/8/1995
27,4040,1/1/1996
27,4381,4/13/1996
27,4123,2/2/1996
27,1620,2/10/1996
27,4057,2/4/1996
28,1193,2/24/1997
28,1260,11/5/1996
28,1981,5/22/1997
28,2345,12/17/1996
28,3616,5/25/1997
28,4685,4/26/1997
28,2758,6/2/1997
28,1322,6/17/1997
28,285,2/11/1997
29,665,10/22/1996
29,2199,5/27/1997
29,2211,1/19/1997
29,2765,4/6/1997
29,2917,11/15/1996
29,3212,1/22/1997
29,3412,4/17/1997
29,3436,2/27/1997
29,3799,4/7/1997
29,4022,11/23/1996
29,4139,3/6/1997
30,461,3/15/1997
30,1990,1/14/1997
30,2575,10/10/1996
30,3774,3/10/1997
30,4247,6/3/1997
30,1551,2/25/1997
30,4747,2/6/1997
30,907,3/22/1997
30,39,4/13/1997
30,2700,11/8/1996
30,1411,1/23/1997
30,2752,3/18/1997
31,459,11/14/1996
31,1730,2/19/1997
31,2381,11/15/1996
31,2584,1/20/1997
31,2624,12/13/1996
31,3597,10/22/1996
31,4130,2/2/1997
31,4800,1/28/1997
31,4180,5/29/1997
31,1977,11/20/1996
31,250,11/8/1996
31,1331,12/3/1996
31,717,6/8/1997
31,2332,6/13/1997
31,2707,6/4/1997
32,1500,3/8/1997
32,2781,10/8/1996
32,3187,2/18/1997
32,3635,3/5/1997
32,4730,3/14/1997
32,450,11/4/1996
32,405,12/30/1996
32,1592,10/20/1996
32,665,11/3/1996
32,3670,3/15/1997
32,2900,4/18/1997
32,4234,12/18/1996
32,910,6/22/1997
32,1189,6/1/1997
32,146,5/20/1997
33,256,1/15/1997
33,745,10/15/1996
33,1116,2/18/1997
33,1196,4/2/1997
33,1213,6/6/1997
33,3534,4/7/1997
33,3550,1/6/1997
33,3974,2/28/1997
33,4119,11/27/1996
33,4476,5/22/1997
33,4014,5/25/1997
34,723,3/23/1997
34,1980,6/28/1997
34,2690,10/4/1996
34,4231,5/20/1997
34,3653,11/17/1996
34,4726,12/30/1996
34,2460,6/21/1997
34,3644,2/3/1997
34,3998,10/31/1996
34,4420,1/19/1997
34,1675,6/6/1997
34,3936,5/15/1997
35,1555,11/6/1996
35,2184,2/18/1997
35,3182,5/12/1997
35,3853,10/29/1996
35,4044,1/6/1997
35,4622,6/8/1997
35,3432,11/20/1996
35,2506,1/28/1997
35,1098,3/14/1997
35,331,5/17/1997
35,1105,2/19/1997
35,3666,6/1/1997
36,844,11/29/1996
36,1394,2/10/1997
36,1664,5/18/1997
36,2116,2/17/1997
36,2902,6/15/1997
36,3852,2/13/1997
36,3890,12/11/1996
36,4013,2/17/1997
36,2719,12/3/1996
36,808,1/1/1997
36,1543,5/2/1997
36,614,6/20/1997
36,4536,1/5/1997
36,1242,10/27/1996
36,3762,10/28/1996
37,2879,6/17/1997
37,3330,2/12/1997
37,4425,2/10/1997
37,980,6/19/1997
37,1429,6/21/1997
37,2644,3/4/1997
37,4379,11/15/1996
37,1350,5/23/1997
37,2330,10/28/1996
37,162,1/8/1997
37,2392,4/10/1997
37,3089,6/25/1997
37,3982,4/11/1997
37,4124,4/4/1997
38,166,12/28/1996
38,1338,3/13/1997
38,1600,3/11/1997
38,2147,1/12/1997
38,4561,2/18/1997
39,90,10/29/1996
39,145,3/20/1997
39,443,2/26/1997
39,1119,11/9/1996
39,1267,2/2/1997
39,1523,10/30/1996
39,2235,5/21/1997
39,2512,10/7/1996
39,2889,5/15/1997
39,3186,11/3/1996
40,2806,12/24/1996
40,3000,6/6/1997
40,4289,11/13/1996
40,3483,3/10/1997
40,1939,1/9/1997
40,3028,11/20/1996
40,2778,5/14/1997
40,4720,4/12/1997
40,1178,12/14/1996
40,2521,4/8/1997
40,4512,6/3/1997
40,2100,1/29/1997
40,400,10/21/1996
41,949,2/20/1997
41,1427,5/1/1997
41,1947,11/14/1996
41,3403,6/29/1997
41,3692,12/27/1996
41,4630,6/21/1997
41,370,11/4/1996
41,3679,1/23/1997
42,661,3/15/1997
42,815,2/16/1997
42,4475,6/22/1997
42,877,1/20/1997
42,1178,1/28/1997
43,5,11/20/1996
43,1717,12/3/1996
43,1762,10/9/1996
43,2068,4/29/1997
43,2577,4/24/1997
43,2645,4/3/1997
43,3396,12/11/1996
43,3802,12/4/1996
43,1335,3/18/1997
43,539,10/21/1996
44,386,1/7/1997
44,666,12/6/1996
44,2105,11/2/1996
44,3504,5/21/1997
44,3636,3/13/1997
44,4549,2/3/1997
44,4587,5/6/1997
44,3500,12/11/1996
44,877,6/12/1997
44,4792,5/19/1997
44,988,6/1/1997
44,1525,2/5/1997
44,2026,2/26/1997
45,2359,6/5/1997
45,3123,3/10/1997
45,3263,10/9/1996
45,3350,11/29/1996
45,3391,11/7/1996
45,3488,2/16/1997
45,3508,11/7/1996
45,4032,11/5/1996
45,4349,3/21/1997
46,520,1/3/1997
46,2536,10/3/1996
46,2836,12/29/1996
46,3816,1/18/1997
46,4826,1/16/1997
47,1043,3/27/1997
47,1254,11/15/1996
47,1767,12/6/1996
47,2698,2/24/1997
47,3529,1/16/1997
47,848,11/23/1996
47,3581,11/1/1996
47,373,11/17/1996
47,1139,4/24/1997
47,2588,6/2/1997
47,3925,10/16/1996
47,830,6/2/1997
47,4117,6/26/1997
47,1380,10/30/1996
48,494,1/3/1997
48,1246,4/16/1997
48,1286,1/30/1997
48,1309,5/28/1997
48,1714,12/17/1996
48,2371,12/10/1996
48,4180,1/27/1997
48,4393,1/12/1997
48,4695,6/14/1997
48,3500,11/5/1996
48,4383,4/29/1997
49,1556,11/7/1996
49,2916,1/21/1997
49,2923,10/4/1996
49,2955,12/29/1996
49,4065,10/4/1996
49,4370,3/28/1997
49,2171,4/8/1997
49,2572,5/31/1997
49,2280,2/27/1997
49,4090,2/13/1997
49,3860,1/16/1997
50,2080,11/8/1996
50,3181,2/12/1997
50,4774,2/20/1997
50,149,11/15/1996
51,2,1/14/1997
51,352,4/15/1997
51,499,1/22/1997
51,673,4/1/1997
51,694,2/24/1997
51,1152,12/15/1996
51,1866,5/19/1997
51,4373,10/22/1996
51,1465,12/15/1996
52,578,11/10/1996
52,647,12/31/1996
52,932,1/13/1997
52,2731,2/13/1997
52,4142,11/8/1996
52,4818,12/10/1996
52,2940,2/5/1997
52,1251,3/19/1997
52,247,10/23/1996
52,4056,6/12/1997
52,1668,10/26/1996
52,1103,4/22/1997
52,3549,5/3/1997
53,107,6/14/1997
53,379,4/8/1997
53,384,5/27/1997
53,2472,4/23/1997
53,2949,4/30/1997
53,4260,2/6/1997
53,4400,5/7/1997
53,4749,1/4/1997
53,4760,11/4/1996
53,4867,1/31/1997
54,371,6/17/1998
54,698,3/8/1998
54,1683,11/24/1997
54,1812,4/23/1998
54,1939,3/20/1998
54,2385,11/3/1997
54,2751,2/14/1998
54,3498,5/22/1998
54,4837,4/22/1998
54,3083,4/8/1998
54,704,10/29/1997
54,2362,3/30/1998
55,247,12/4/1997
55,1117,4/9/1998
55,2180,2/1/1998
55,3924,4/27/1998
55,3946,12/26/1997
55,4023,11/11/1997
56,1131,10/17/1997
56,1181,10/22/1997
56,3259,1/18/1998
56,3321,11/22/1997
56,3549,5/26/1998
56,4442,6/4/1998
56,3441,2/5/1998
56,3701,1/15/1998
57,51,10/1/1997
57,1680,1/30/1998
57,1834,12/1/1997
57,2055,4/3/1998
57,2894,6/12/1998
57,4084,5/22/1998
57,4410,2/22/1998
57,4492,2/1/1998
57,4620,7/1/1998
58,241,5/30/1998
58,839,3/27/1998
58,1238,12/25/1997
58,1615,11/4/1997
58,3284,2/14/1998
58,132,6/8/1998
58,2197,12/5/1997
58,2663,4/26/1998
58,1769,1/23/1998
59,991,4/13/1998
59,1637,3/1/1998
59,1806,4/15/1998
59,2142,1/31/1998
59,3254,5/7/1998
59,3432,2/25/1998
59,3601,5/21/1998
59,3987,4/26/1998
59,4226,6/26/1998
59,4426,6/20/1998
59,3740,12/25/1997
59,3817,5/24/1998
59,249,4/3/1998
59,2606,11/14/1997
60,376,6/25/1998
60,850,6/15/1998
60,1049,1/7/1998
60,459,11/2/1997
60,2645,1/27/1998
60,3506,5/12/1998
60,1673,4/15/1998
60,3929,12/3/1997
60,50,5/18/1998
60,2730,2/11/1998
60,1731,12/23/1997
60,395,1/17/1998
60,2761,5/28/1998
60,4007,1/23/1998
61,806,12/14/1997
61,2145,6/28/1998
61,2724,12/9/1997
61,2974,6/3/1998
61,3978,12/22/1997
61,4579,4/13/1998
61,3483,4/30/1998
62,75,4/23/1998
62,273,12/28/1997
62,1190,3/11/1998
62,1335,2/9/1998
62,2669,1/19/1998
62,3354,6/19/1998
62,3780,3/16/1998
62,4641,4/26/1998
62,2977,3/17/1998
62,2489,12/30/1997
63,2233,6/29/1998
63,4364,2/16/1998
63,4625,5/23/1998
63,3120,11/4/1997
63,1121,5/11/1998
63,1517,10/28/1997
63,180,1/29/1998
63,627,6/23/1998
63,3807,2/25/1998
63,1777,12/31/1997
63,1285,3/22/1998
63,1566,6/26/1998
64,988,2/15/1998
64,1186,1/30/1998
64,1688,12/24/1997
64,3702,5/6/1998
64,4375,3/1/1998
64,118,3/17/1998
64,2569,12/11/1997
64,2484,1/12/1998
64,205,1/6/1998
64,2066,1/16/1998
64,685,1/28/1998
65,1747,5/5/1998
65,1870,2/20/1998
65,1960,3/25/1998
65,1996,2/21/1998
65,2036,11/27/1997
65,2103,10/6/1997
65,2121,4/14/1998
65,2254,12/2/1997
65,2417,6/1/1998
65,2489,11/23/1997
65,3307,2/27/1998
65,3758,5/4/1998
66,3092,11/28/1997
66,3507,1/17/1998
66,3769,11/9/1997
66,3836,3/14/1998
66,4531,4/11/1998
66,1167,11/9/1997
66,2818,1/22/1998
66,3891,5/5/1998
66,3506,4/14/1998
66,245,10/26/1997
66,2263,12/29/1997
67,709,10/29/1997
67,812,3/26/1998
67,1229,4/19/1998
67,2053,3/6/1998
67,2818,12/18/1997
67,2900,11/25/1997
67,1843,3/2/1998
67,834,6/12/1998
67,4202,6/3/1998
67,1706,10/10/1997
68,641,5/10/1998
68,2093,2/14/1998
68,2143,5/7/1998
68,3339,2/27/1998
68,4575,4/5/1998
68,4303,2/14/1998
68,1784,11/14/1997
68,4262,11/27/1997
68,1895,10/3/1997
68,2634,5/30/1998
68,320,6/12/1998
68,353,12/26/1997
68,1880,3/4/1998
68,3485,4/24/1998
69,1781,4/2/1998
69,3302,5/15/1998
69,3453,10/31/1997
69,4034,1/27/1998
69,4419,3/16/1998
69,3235,12/5/1997
69,2178,1/3/1998
69,3809,4/5/1998
69,1482,10/24/1997
69,2346,1/6/1998
69,1541,5/10/1998
69,4276,1/11/1998
70,546,1/4/1998
70,703,3/28/1998
70,926,12/8/1997
70,1287,12/4/1997
70,1967,1/31/1998
70,3127,12/10/1997
70,3580,1/14/1998
70,4131,2/11/1998
70,1340,1/15/1998
70,3276,3/7/1998
70,4495,1/9/1998
70,1096,2/3/1998
70,3227,10/4/1997
70,912,6/21/1998
70,2466,12/22/1997
71,715,10/18/1997
71,900,5/28/1998
71,1219,6/30/1998
71,1694,11/5/1997
71,1707,12/13/1997
71,3217,10/25/1997
71,4291,10/30/1997
71,4338,1/12/1998
71,3152,4/6/1998
71,9,10/16/1997
71,2638,4/29/1998
71,4377,2/11/1998
71,807,6/12/1998
71,2710,10/19/1997
71,2575,11/13/1997
72,977,10/31/1997
72,1801,11/20/1997
72,2429,6/26/1998
72,3319,4/12/1998
72,3939,6/26/1998
72,2794,3/7/1998
72,2217,2/17/1998
72,572,2/14/1998
72,4392,6/30/1998
72,1855,1/12/1998
73,1657,11/4/1997
73,1868,5/14/1998
73,3286,11/16/1997
73,3912,10/14/1997
73,157,1/29/1998
73,3847,12/28/1997
73,4129,12/11/1997
73,4660,4/7/1998
74,266,1/8/1998
74,1751,3/30/1998
74,2251,10/14/1997
74,4296,10/17/1997
74,4388,2/15/1998
74,944,1/25/1998
74,3182,12/28/1997
74,331,12/28/1997
75,261,4/7/1998
75,291,5/30/1998
75,2275,10/9/1997
75,3064,4/30/1998
75,2722,3/24/1998
75,951,12/22/1997
75,1131,4/19/1998
75,3972,4/9/1998
75,4637,11/10/1997
75,2262,10/31/1997
75,2156,1/31/1998
75,4190,10/14/1997
75,3649,12/2/1997
76,2117,4/16/1998
76,2387,10/19/1997
76,3570,11/1/1997
76,4172,2/25/1998
76,4314,3/16/1998
76,4333,4/2/1998
76,4841,11/16/1997
77,728,4/25/1998
77,1237,1/27/1998
77,2224,11/5/1997
77,3445,2/2/1998
77,3897,1/26/1998
77,2727,4/8/1998
77,4478,6/6/1998
77,1873,3/1/1998
77,2235,1/29/1998
77,2587,1/25/1998
77,3029,11/25/1997
78,1778,3/1/1998
78,1925,10/26/1997
78,2178,12/14/1997
78,3200,4/1/1998
78,3382,1/17/1998
78,4819,2/12/1998
79,282,4/9/1998
79,308,2/14/1998
79,644,2/8/1998
79,732,11/8/1997
79,2146,1/23/1998
79,4744,10/4/1997
80,1577,5/10/1998
80,1871,2/25/1998
80,2250,5/24/1998
80,2755,4/27/1998
80,2995,5/21/1998
80,3022,12/18/1997
80,3810,6/1/1998
80,4179,3/9/1998
81,1347,2/5/1998
81,2165,12/9/1997
81,3949,10/24/1997
81,4103,4/12/1998
81,4374,2/8/1998
81,4852,12/28/1997
81,2876,10/1/1997
81,3920,12/28/1997
81,3213,1/5/1998
81,3805,3/24/1998
81,2489,6/8/1998
82,76,10/28/1998
82,901,2/16/1999
82,2504,2/12/1999
82,3085,11/20/1998
82,3784,4/3/1999
82,3945,11/19/1998
82,4041,11/1/1998
82,4825,10/23/1998
82,4843,5/23/1999
82,2927,2/1/1999
83,483,6/13/1999
83,1250,3/20/1999
83,2104,2/21/1999
83,3225,2/14/1999
83,3352,12/30/1998
83,3511,3/26/1999
83,4335,1/21/1999
83,4666,4/10/1999
83,3550,1/31/1999
83,1622,6/8/1999
83,805,6/14/1999
83,4560,12/21/1998
83,42,1/24/1999
83,4378,12/26/1998
83,3859,4/8/1999
84,1107,10/30/1998
84,2125,4/2/1999
84,2738,2/23/1999
84,2880,6/26/1999
84,3268,11/18/1998
84,4662,11/23/1998
84,2479,1/9/1999
84,2958,10/19/1998
85,1099,2/9/1999
85,1525,6/27/1999
85,1562,2/23/1999
85,2047,11/30/1998
85,3460,6/16/1999
85,3535,3/4/1999
85,4193,12/9/1998
86,442,5/27/1999
86,519,5/14/1999
86,3418,3/25/1999
86,2256,5/8/1999
86,1014,10/17/1998
86,1868,6/22/1999
86,718,2/16/1999
86,4266,4/7/1999
86,2658,3/4/1999
86,3079,5/10/1999
87,938,2/27/1999
87,1174,3/19/1999
87,1242,11/23/1998
87,1510,1/2/1999
87,1581,5/23/1999
87,1618,10/22/1998
87,1666,3/2/1999
87,3045,3/26/1999
87,3416,10/11/1998
88,438,11/5/1998
88,911,10/10/1998
88,958,1/3/1999
88,2628,11/27/1998
88,3149,12/5/1998
88,4126,10/5/1998
88,2905,1/21/1999
89,3239,2/13/1999
89,3378,1/27/1999
89,4464,11/13/1998
89,3570,3/24/1999
89,4808,12/24/1998
89,2439,2/2/1999
89,3386,2/18/1999
89,3619,2/26/1999
89,609,3/18/1999
89,1111,1/21/1999
90,435,10/22/1998
90,1264,11/25/1998
90,1388,2/15/1999
90,2727,5/18/1999
90,2733,5/31/1999
90,3010,2/17/1999
90,3433,12/3/1998
90,3879,1/3/1999
90,4047,12/25/1998
90,4592,4/5/1999
90,2660,10/26/1998
90,3104,5/15/1999
90,4419,10/14/1998
91,2245,5/18/1999
91,2402,6/24/1999
91,280,10/23/1998
91,751,10/16/1998
91,1554,11/19/1998
91,2130,1/11/1999
91,3611,6/16/1999
91,1470,12/28/1998
91,3685,4/4/1999
91,3854,12/30/1998
91,339,11/25/1998
92,502,4/15/1999
92,880,6/2/1999
92,1261,12/1/1998
92,1924,6/20/1999
92,2672,10/13/1998
92,3252,1/20/1999
92,3501,3/7/1999
92,3861,1/3/1999
92,4680,4/4/1999
92,4874,10/3/1998
93,2120,10/21/1998
93,2205,3/26/1999
93,2691,2/14/1999
93,3688,11/18/1998
93,4342,3/23/1999
93,4415,2/22/1999
93,4556,1/23/1999
93,4875,4/20/1999
94,1008,6/4/1999
94,1182,4/12/1999
94,1425,6/20/1999
94,1049,12/2/1998
94,3168,2/27/1999
94,1856,2/9/1999
95,339,6/5/1999
95,677,4/25/1999
95,1958,3/23/1999
95,2985,11/8/1998
95,3916,2/25/1999
95,144,12/16/1998
95,2330,11/10/1998
95,3653,3/26/1999
95,474,5/18/1999
96,405,6/29/1999
96,1311,12/30/1998
96,1467,4/25/1999
96,3056,10/16/1998
96,3872,10/16/1998
96,88,6/22/1999
97,1547,6/10/1999
97,1964,5/28/1999
97,3126,6/13/1999
97,3706,4/30/1999
97,4386,10/26/1998
97,4435,3/14/1999
97,4605,12/24/1998
97,4671,11/21/1998
98,1627,10/12/1998
98,2336,4/20/1999
98,4489,2/7/1999
98,4638,2/28/1999
98,4780,4/2/1999
99,190,3/4/1999
99,1695,10/23/1998
99,1797,10/22/1998
99,3246,1/7/1999
100,74,5/11/1999
100,1366,11/1/1998
100,1570,12/17/1998
100,2209,12/22/1998
100,2445,10/7/1998
100,3735,1/9/1999
100,2178,11/9/1998
100,4471,6/17/1999
100,3927,5/24/1999
100,1658,1/3/1999
100,3118,4/4/1999
100,2392,3/26/1999
100,621,12/27/1998
101,432,11/9/1998
101,1036,6/4/1999
101,1355,11/15/1998
101,2270,12/26/1998
101,2616,3/1/1999
101,2762,5/15/1999
101,2969,4/29/1999
101,3713,11/18/1998
101,4225,12/8/1998
101,4305,2/17/1999
101,4352,1/27/1999
102,85,4/16/1999
102,1082,12/23/1998
102,2137,6/6/1999
102,3829,11/21/1998
102,4613,4/27/1999
103,614,10/15/1998
103,1040,11/17/1998
103,2617,3/27/1999
103,3201,12/15/1998
103,3458,3/20/1999
103,3567,10/21/1998
103,4669,5/29/1999
104,475,1/1/1999
104,1789,12/19/1998
104,1887,6/14/1999
104,2179,12/17/1998
104,3281,1/19/1999
104,936,1/3/1999
104,655,3/6/1999
104,4654,1/10/1999
104,4330,1/16/1999
104,2137,2/5/1999
104,4173,5/13/1999
104,2717,6/7/1999
105,1844,11/17/1998
105,1930,3/28/1999
105,3346,12/25/1998
105,3812,6/15/1999
105,4645,6/4/1999
105,4832,5/13/1999
105,3356,11/27/1998
105,3658,6/15/1999
105,2158,12/1/1998
105,2533,10/21/1998
105,1517,5/23/1999
106,1495,6/19/2000
106,3293,5/4/2000
106,915,5/4/2000
106,2111,4/6/2000
106,1480,1/19/2000
106,1464,4/16/2000
106,2854,3/2/2000
106,3492,5/28/2000
106,2955,11/29/1999
106,4414,10/30/1999
106,3772,1/12/2000
107,1020,10/17/1999
107,1154,10/22/1999
107,1157,4/10/2000
107,1724,5/30/2000
107,2377,5/22/2000
107,2798,3/23/2000
107,3772,4/27/2000
107,3840,5/25/2000
107,4769,10/6/1999
108,1582,2/12/2000
108,2031,1/4/2000
108,2195,4/28/2000
108,3929,5/22/2000
109,2304,1/23/2000
109,3050,3/30/2000
109,2312,6/16/2000
109,2501,2/17/2000
109,3785,1/5/2000
110,1445,10/29/1999
110,2397,1/27/2000
110,2937,4/23/2000
110,3226,1/12/2000
110,3953,4/16/2000
110,4012,3/29/2000
110,4229,12/14/1999
110,3202,3/11/2000
110,274,3/14/2000
110,1863,1/31/2000
110,2034,6/17/2000
110,996,3/30/2000
111,59,1/7/2000
111,1218,12/7/1999
111,4202,12/28/1999
111,4482,1/26/2000
111,4631,3/16/2000
111,4701,2/2/2000
112,2428,6/11/2000
112,2506,3/24/2000
112,2659,2/9/2000
112,3290,11/29/1999
112,4465,1/22/2000
112,4767,1/30/2000
112,4122,10/11/1999
112,4641,6/30/2000
112,163,11/19/1999
112,763,5/31/2000
112,18,3/7/2000
112,589,5/31/2000
113,816,5/21/2000
113,1329,12/19/1999
113,3894,6/16/2000
113,3284,12/9/1999
113,3690,3/27/2000
113,1472,10/2/1999
113,3761,6/23/2000
113,822,2/10/2000
113,2300,10/17/1999
114,120,6/30/2000
114,369,3/2/2000
114,4483,11/3/1999
114,4792,12/1/1999
114,3771,4/1/2000
114,962,3/1/2000
115,12,1/11/2000
115,1326,4/8/2000
115,3159,3/16/2000
115,3277,11/14/1999
115,3862,6/15/2000
115,4109,10/21/1999
115,4667,6/24/2000
115,2186,6/29/2000
115,39,6/28/2000
115,1465,6/11/2000
116,1709,2/28/2000
116,2799,5/15/2000
116,2832,2/18/2000
116,4156,2/11/2000
116,4446,11/9/1999
116,4721,11/12/1999
116,936,4/29/2000
116,1140,10/30/1999
116,1104,1/9/2000
116,2409,6/30/2000
116,2287,1/14/2000
116,3306,11/14/1999
116,4598,2/22/2000
116,3450,12/22/1999
117,287,11/13/1999
117,1895,5/31/2000
117,2516,6/28/2000
117,2714,12/31/1999
117,3111,6/28/2000
117,3608,2/16/2000
117,4292,5/28/2000
117,4237,11/7/1999
118,1141,5/25/2000
118,1202,11/8/1999
118,1208,11/1/1999
118,1897,3/17/2000
118,3077,2/20/2000
118,3194,10/12/1999
118,3326,10/13/1999
118,3357,5/7/2000
118,3464,10/24/1999
118,4046,6/14/2000
118,4840,4/26/2000
119,248,11/12/1999
119,1393,12/2/1999
119,1599,2/15/2000
119,3493,2/19/2000
119,3533,4/24/2000
119,3778,4/16/2000
119,4827,7/1/2000
119,65,12/28/1999
119,55,4/12/2000
119,1679,5/30/2000
119,1612,3/5/2000
119,99,2/19/2000
119,4828,1/21/2000
119,4197,3/16/2000
119,2042,12/24/1999
120,1609,11/11/1999
120,2369,4/23/2000
120,2457,4/27/2000
