fr_ID,fr_JobFilled,fr_Tools,fr_PaymentMethod,fr_Platform
162,"SEO Specialist","Trello","Wise","99designs"
163,"Database Administration","MongoDB","Zelle","99designs"
164,"Backend Development","Adobe XD","PayPal","AngelList"
165,"Cybersecurity","AWS","Cryptocurrency","Freelancer.com"
166,"Data Science","TensorFlow","Credit Card","SimplyHired"
167,"Cybersecurity","TensorFlow","Direct Bank Transfer","Fiverr"
168,"Data Analysis","Illustrator","Wise","Fiverr"
169,"AI Development","PyTorch","Cryptocurrency","Toptal"
170,"Mobile App Development","Slack","Direct Bank Transfer","LinkedIn"
171,"Graphic Design","GitHub","Wise","Fiverr"
172,"Technical Writing","Power BI","Cryptocurrency","PeoplePerHour"
173,"Database Administration","Jira","Stripe","Upwork"
174,"Data Analysis","Git","Direct Bank Transfer","Toptal"
175,"Technical Writing","Trello","Zelle","Toptal"
176,"Software Development","PostgreSQL","Payoneer","Freelancer.com"
177,"IT Support","WordPress","Credit Card","Upwork"
178,"Blockchain Development","Jira","PayPal","Working Nomads"
179,"SEO Specialist","Power BI","Wise","Toptal"
180,"Frontend Development","GitHub","Venmo","Guru"
181,"Blockchain Development","WordPress","Zelle","Stack Overflow Jobs"
182,"Mobile App Development","Kubernetes","Wire Transfer","Upwork"
183,"Data Science","Unity","Payoneer","PeoplePerHour"
184,"Blockchain Development","PyTorch","Credit Card","LinkedIn"
185,"Data Science","MySQL","Direct Bank Transfer","AngelList"
186,"Network Administration","React","Stripe","Upwork"
187,"Frontend Development","Visual Studio Code","Payoneer","Upwork"
188,"Blockchain Development","Node.js","Cryptocurrency","LinkedIn"
189,"Graphic Design","Illustrator","PayPal","Codementor"
190,"Software Development","Visual Studio Code","Venmo","Indeed"
191,"Technical Writing","Figma","Wise","Upwork"
192,"Web Development","JavaScript","PayPal","PeoplePerHour"
193,"IT Support","Slack","Stripe","Freelancer.com"
194,"IT Support","Jira","Wise","PeoplePerHour"
195,"E-commerce Development","WordPress","Cryptocurrency","Freelancer.com"
196,"Frontend Development","MongoDB","Zelle","Upwork"
197,"DevOps Engineering","Git","Wire Transfer","Toptal"
198,"Technical Writing","Azure","Wire Transfer","Upwork"
199,"Mobile App Development","Illustrator","Zelle","AngelList"
200,"Graphic Design","Shopify","Wire Transfer","99designs"
201,"Data Analysis","Illustrator","Stripe","Toptal"
202,"Cybersecurity","Adobe XD","Payoneer","We Work Remotely"
203,"WordPress Development","Node.js","Direct Bank Transfer","PeoplePerHour"
204,"E-commerce Development","Git","Wise","Guru"
205,"Database Administration","Azure","Wire Transfer","We Work Remotely"
206,"Digital Marketing","Git","Credit Card","Toptal"
207,"IT Support","JavaScript","Venmo","LinkedIn"
208,"E-commerce Development","Node.js","PayPal","Fiverr"
209,"DevOps Engineering","WordPress","Venmo","SimplyHired"
210,"QA Testing","Figma","Wise","Dribbble"
211,"SEO Specialist","MongoDB","PayPal","Remote.co"
212,"Cloud Computing","TensorFlow","Zelle","Upwork"
213,"IT Support","Shopify","Payoneer","Fiverr"
214,"Software Development","Power BI","Venmo","Upwork"
215,"IT Support","Visual Studio Code","Direct Bank Transfer","Fiverr"
216,"SEO Specialist","PyTorch","Wise","Toptal"
217,"Data Analysis","Power BI","Zelle","Upwork"
218,"Full Stack Development","Unity","Zelle","Fiverr"
219,"Network Administration","Kubernetes","Direct Bank Transfer","Upwork"
220,"Backend Development","Slack","Stripe","PeoplePerHour"
221,"DevOps Engineering","React","PayPal","Upwork"
222,"Web Development","Django","Wise","Remote.co"
223,"Technical Writing","GitHub","Payoneer","LinkedIn"
224,"QA Testing","Power BI","Wise","Fiverr"
225,"Digital Marketing","Django","Wise","Toptal"
226,"UI/UX Design","MongoDB","PayPal","Upwork"
227,"Web Development","MySQL","PayPal","Guru"
228,"Digital Marketing","Illustrator","Credit Card","Toptal"
229,"QA Testing","Unity","Zelle","GitHub Jobs"
230,"Backend Development","Tableau","Wire Transfer","Behance"
231,"Network Administration","Jira","Zelle","Guru"
232,"Backend Development","MySQL","Credit Card","PeoplePerHour"
233,"SEO Specialist","Slack","Venmo","Toptal"
234,"Graphic Design","Node.js","PayPal","LinkedIn"
235,"Frontend Development","AWS","Payoneer","Fiverr"
236,"E-commerce Development","Slack","Direct Bank Transfer","Upwork"
237,"Cloud Computing","Illustrator","PayPal","Upwork"
238,"Technical Writing","Shopify","Payoneer","Upwork"
239,"AI Development","Unity","PayPal","Upwork"
240,"AI Development","Figma","Zelle","PeoplePerHour"
241,"Data Science","React","Wise","Toptal"
242,"Cybersecurity","MySQL","Credit Card","Fiverr"
243,"IT Support","Azure","Credit Card","Indeed"
244,"Cloud Computing","JavaScript","PayPal","LinkedIn"
245,"WordPress Development","Illustrator","Stripe","Indeed"
246,"Network Administration","TensorFlow","Zelle","We Work Remotely"
247,"Backend Development","GitHub","Stripe","Fiverr"
248,"Machine Learning","Azure","Cryptocurrency","Toptal"
249,"QA Testing","JavaScript","Payoneer","Remote.co"
250,"SEO Specialist","Figma","Venmo","Freelancer.com"
251,"Software Development","Azure","Stripe","Toptal"
252,"Data Science","MongoDB","Payoneer","Upwork"
253,"AI Development","Azure","Payoneer","Stack Overflow Jobs"
254,"Blockchain Development","Azure","Payoneer","LinkedIn"
255,"Full Stack Development","Figma","Wise","Upwork"
256,"Data Science","JavaScript","Wise","Catalant"
257,"Cloud Computing","TensorFlow","Payoneer","Freelancer.com"
258,"IT Support","MySQL","Zelle","Fiverr"
259,"Digital Marketing","Jupyter","Payoneer","Freelancer.com"
260,"AI Development","Git","Credit Card","Fiverr"
261,"UI/UX Design","PostgreSQL","Stripe","SimplyHired"
262,"Technical Writing","MySQL","Direct Bank Transfer","Freelancer.com"
263,"Cybersecurity","Tableau","Cryptocurrency","Freelancer.com"
264,"Machine Learning","Visual Studio Code","Zelle","Upwork"
265,"Backend Development","Unity","Direct Bank Transfer","Fiverr"
266,"Database Administration","PostgreSQL","Zelle","Indeed"
267,"Cloud Computing","Azure","Venmo","Remote.co"
268,"Backend Development","Azure","Stripe","We Work Remotely"
269,"IT Support","Kubernetes","Payoneer","Fiverr"
270,"Mobile App Development","Visual Studio Code","PayPal","Upwork"
271,"Network Administration","Adobe XD","Cryptocurrency","Behance"
272,"Technical Writing","PostgreSQL","Wire Transfer","Codementor"
273,"WordPress Development","JavaScript","Zelle","Upwork"
274,"Database Administration","Docker","Stripe","Upwork"
275,"Software Development","Tableau","Zelle","Upwork"
276,"Data Analysis","PostgreSQL","Direct Bank Transfer","LinkedIn"
277,"Backend Development","PyTorch","Cryptocurrency","Indeed"
278,"Full Stack Development","PyTorch","Stripe","PeoplePerHour"
279,"Web Development","Git","Cryptocurrency","PeoplePerHour"
280,"Full Stack Development","Node.js","Payoneer","Guru"
281,"SEO Specialist","Power BI","Zelle","Fiverr"
282,"Backend Development","JavaScript","PayPal","Guru"
283,"Software Development","Azure","Zelle","We Work Remotely"
284,"UI/UX Design","React","Payoneer","99designs"
285,"SEO Specialist","Power BI","PayPal","Upwork"
286,"Database Administration","Kubernetes","Stripe","Toptal"
287,"Cybersecurity","Tableau","Direct Bank Transfer","PeoplePerHour"
288,"E-commerce Development","Node.js","Stripe","Codementor"
289,"WordPress Development","Python","Wire Transfer","Guru"
290,"Network Administration","Unity","PayPal","Upwork"
291,"QA Testing","JavaScript","Credit Card","LinkedIn"
292,"Network Administration","TensorFlow","Stripe","LinkedIn"
293,"SEO Specialist","Azure","Wire Transfer","Freelancer.com"
294,"Software Development","Unity","Wise","Freelancer.com"
295,"Blockchain Development","Adobe XD","Direct Bank Transfer","Remote.co"
296,"E-commerce Development","TensorFlow","Stripe","FlexJobs"
297,"E-commerce Development","Slack","Stripe","Freelancer.com"
298,"Digital Marketing","Python","Stripe","Upwork"
299,"Graphic Design","Unity","Direct Bank Transfer","LinkedIn"
300,"Cloud Computing","Kubernetes","Direct Bank Transfer","AngelList"
301,"Frontend Development","Visual Studio Code","Wire Transfer","Fiverr"
302,"Blockchain Development","Azure","Direct Bank Transfer","Toptal"
303,"WordPress Development","Node.js","PayPal","Upwork"
304,"Data Analysis","Slack","Direct Bank Transfer","Freelancer.com"
305,"E-commerce Development","Kubernetes","Stripe","Fiverr"
306,"Mobile App Development","Azure","Venmo","Toptal"
307,"AI Development","Trello","Wire Transfer","SimplyHired"
308,"DevOps Engineering","React","Payoneer","AngelList"
309,"Full Stack Development","TensorFlow","Cryptocurrency","Guru"
310,"Network Administration","Power BI","Wire Transfer","Upwork"
311,"UI/UX Design","Illustrator","Stripe","Remote.co"
312,"Software Development","Slack","Venmo","Remote.co"
313,"Web Development","Trello","PayPal","LinkedIn"
314,"Cloud Computing","Power BI","Wire Transfer","Upwork"
315,"AI Development","Figma","Cryptocurrency","Toptal"
316,"Mobile App Development","Power BI","Venmo","Indeed"
317,"IT Support","Illustrator","Credit Card","Toptal"
318,"E-commerce Development","Python","Wire Transfer","Fiverr"
319,"Machine Learning","PyTorch","Zelle","Upwork"
320,"Software Development","JavaScript","Payoneer","Freelancer.com"
321,"Backend Development","Photoshop","Venmo","Freelancer.com"
322,"Software Development","Git","Payoneer","Upwork"
323,"Software Development","Python","Venmo","Toptal"
324,"QA Testing","Trello","Payoneer","LinkedIn"
325,"QA Testing","Slack","Stripe","Upwork"
326,"DevOps Engineering","AWS","Payoneer","Upwork"
327,"Blockchain Development","Docker","Credit Card","Toptal"
328,"Backend Development","Git","Payoneer","Guru"
329,"Data Science","Docker","Direct Bank Transfer","99designs"
330,"Network Administration","Photoshop","Wise","Freelancer.com"
331,"Data Science","JavaScript","Cryptocurrency","PeoplePerHour"
332,"SEO Specialist","WordPress","Stripe","PeoplePerHour"
333,"Technical Writing","Python","Stripe","Codementor"
334,"Frontend Development","Node.js","PayPal","PeoplePerHour"
335,"Digital Marketing","Unity","Stripe","Fiverr"
336,"Machine Learning","WordPress","Payoneer","Guru"
337,"Mobile App Development","PostgreSQL","PayPal","Fiverr"
338,"UI/UX Design","Jira","Wire Transfer","SimplyHired"
339,"Database Administration","Git","Zelle","Fiverr"
340,"Data Analysis","Power BI","Zelle","Toptal"
341,"Blockchain Development","TensorFlow","Cryptocurrency","AngelList"
342,"Machine Learning","Azure","Credit Card","PeoplePerHour"
343,"Technical Writing","Python","Direct Bank Transfer","Toptal"
344,"QA Testing","GitHub","Stripe","Freelancer.com"
345,"SEO Specialist","MongoDB","PayPal","Freelancer.com"
346,"IT Support","Kubernetes","Credit Card","Stack Overflow Jobs"
347,"SEO Specialist","Unity","Wire Transfer","We Work Remotely"
348,"QA Testing","Photoshop","Zelle","Guru"
349,"Network Administration","Power BI","Wire Transfer","LinkedIn"
350,"Network Administration","Illustrator","Credit Card","FlexJobs"
351,"Mobile App Development","MySQL","Venmo","We Work Remotely"
352,"Machine Learning","React","Zelle","Fiverr"
353,"Game Development","Photoshop","Stripe","Indeed"
354,"SEO Specialist","Git","PayPal","Fiverr"
355,"Frontend Development","Photoshop","Direct Bank Transfer","Dribbble"
356,"Graphic Design","PostgreSQL","Direct Bank Transfer","We Work Remotely"
357,"Technical Writing","AWS","Wire Transfer","99designs"
358,"Cloud Computing","Python","PayPal","Upwork"
359,"E-commerce Development","MongoDB","Stripe","Fiverr"
360,"Cloud Computing","Jira","Venmo","Upwork"
361,"Data Science","Git","Direct Bank Transfer","Guru"
362,"Game Development","PostgreSQL","Cryptocurrency","Freelancer.com"
363,"Backend Development","React","Venmo","99designs"
364,"Cloud Computing","Shopify","Cryptocurrency","Toptal"
365,"Cybersecurity","Adobe XD","Venmo","PeoplePerHour"
366,"Technical Writing","AWS","Direct Bank Transfer","Upwork"
367,"Network Administration","TensorFlow","Wire Transfer","SimplyHired"
368,"Graphic Design","Power BI","PayPal","GitHub Jobs"
369,"Data Analysis","Node.js","Direct Bank Transfer","Freelancer.com"
370,"Cloud Computing","Slack","Direct Bank Transfer","Upwork"
371,"Web Development","AWS","Wire Transfer","Freelancer.com"
372,"Database Administration","Python","Direct Bank Transfer","Workana"
373,"DevOps Engineering","Illustrator","PayPal","FlexJobs"
374,"QA Testing","PostgreSQL","Cryptocurrency","AngelList"
375,"Technical Writing","PyTorch","Wise","Upwork"
376,"Backend Development","PostgreSQL","Cryptocurrency","Guru"
377,"Data Analysis","TensorFlow","Zelle","We Work Remotely"
378,"Machine Learning","Illustrator","Wise","Indeed"
379,"IT Support","Jira","Direct Bank Transfer","Remote.co"
380,"Technical Writing","Slack","Wise","Freelancer.com"
381,"Graphic Design","MongoDB","Credit Card","Fiverr"
382,"Data Science","Slack","PayPal","Freelancer.com"
383,"Game Development","Shopify","Cryptocurrency","PeoplePerHour"
384,"Machine Learning","Tableau","Direct Bank Transfer","Freelancer.com"
385,"Data Analysis","Illustrator","Wire Transfer","Toptal"
386,"DevOps Engineering","Tableau","Payoneer","99designs"
387,"Web Development","Power BI","Wire Transfer","Guru"
388,"Software Development","WordPress","Payoneer","Gun.io"
389,"Web Development","Photoshop","Cryptocurrency","Toptal"
390,"Digital Marketing","Trello","Payoneer","Fiverr"
391,"Digital Marketing","Photoshop","Zelle","Upwork"
392,"WordPress Development","Django","Payoneer","Guru"
393,"E-commerce Development","MongoDB","Zelle","Fiverr"
394,"Game Development","GitHub","Direct Bank Transfer","Freelancer.com"
395,"SEO Specialist","Docker","Direct Bank Transfer","Freelancer.com"
396,"Data Science","GitHub","Venmo","Freelancer.com"
397,"DevOps Engineering","Kubernetes","Zelle","Stack Overflow Jobs"
398,"WordPress Development","JavaScript","Zelle","Guru"
399,"Frontend Development","PostgreSQL","Wise","Upwork"
400,"Backend Development","PostgreSQL","Wire Transfer","Freelancer.com"
401,"Network Administration","Tableau","Direct Bank Transfer","Fiverr"
402,"Full Stack Development","Jupyter","Wise","GitHub Jobs"
403,"Blockchain Development","React","Wise","LinkedIn"
404,"Game Development","Node.js","Stripe","Freelancer.com"
405,"Digital Marketing","AWS","Zelle","LinkedIn"
406,"Database Administration","Shopify","PayPal","Upwork"
407,"Backend Development","Trello","Wire Transfer","Fiverr"
408,"Cloud Computing","React","Wire Transfer","Toptal"
409,"Digital Marketing","Visual Studio Code","PayPal","Guru"
410,"AI Development","Trello","Direct Bank Transfer","Fiverr"
411,"IT Support","Django","Direct Bank Transfer","Toptal"
412,"E-commerce Development","MySQL","Credit Card","PeoplePerHour"
413,"QA Testing","WordPress","Credit Card","PeoplePerHour"
414,"Software Development","GitHub","Wise","Behance"
415,"Data Science","Node.js","Stripe","Toptal"
416,"E-commerce Development","GitHub","Direct Bank Transfer","Toptal"
417,"Cloud Computing","JavaScript","Credit Card","Remote.co"
418,"DevOps Engineering","MySQL","Stripe","Freelancer.com"
419,"Software Development","PyTorch","Cryptocurrency","Dribbble"
420,"Cybersecurity","Photoshop","Direct Bank Transfer","Toptal"
421,"Full Stack Development","Shopify","Stripe","Toptal"
422,"Backend Development","Visual Studio Code","Direct Bank Transfer","Fiverr"
423,"AI Development","GitHub","PayPal","Codementor"
424,"Technical Writing","Git","Cryptocurrency","SimplyHired"
425,"DevOps Engineering","Shopify","Stripe","Guru"
426,"Machine Learning","PyTorch","Credit Card","Fiverr"
427,"Blockchain Development","Django","Stripe","Remote.co"
428,"Digital Marketing","PostgreSQL","Stripe","Upwork"
429,"Graphic Design","JavaScript","Cryptocurrency","Freelancer.com"
430,"Cybersecurity","Python","Payoneer","Gun.io"
431,"UI/UX Design","Photoshop","Payoneer","Fiverr"
432,"AI Development","Jupyter","Stripe","99designs"
433,"Full Stack Development","Photoshop","Credit Card","SimplyHired"
434,"Full Stack Development","Python","PayPal","Indeed"
435,"E-commerce Development","Slack","Venmo","Upwork"
436,"E-commerce Development","PyTorch","Payoneer","Toptal"
437,"UI/UX Design","Django","Venmo","Freelancer.com"
438,"Full Stack Development","Figma","Direct Bank Transfer","PeoplePerHour"
439,"Database Administration","Azure","PayPal","99designs"
440,"Web Development","Node.js","Payoneer","Guru"
441,"Full Stack Development","PyTorch","Zelle","Freelancer.com"
442,"Mobile App Development","Python","Credit Card","Behance"
443,"Digital Marketing","Azure","Payoneer","Toptal"
444,"WordPress Development","GitHub","Stripe","99designs"
445,"Web Development","WordPress","Wire Transfer","Toptal"
446,"DevOps Engineering","Docker","Stripe","Indeed"
447,"Full Stack Development","Azure","Zelle","Toptal"
448,"Frontend Development","JavaScript","Wise","Guru"
449,"SEO Specialist","Trello","Zelle","AngelList"
450,"WordPress Development","Python","Credit Card","LinkedIn"
451,"AI Development","Azure","Wise","Guru"
452,"Cloud Computing","JavaScript","Wise","Upwork"
453,"AI Development","PostgreSQL","Venmo","PeoplePerHour"
454,"Network Administration","Jira","Wire Transfer","Remote.co"
455,"Frontend Development","Kubernetes","Direct Bank Transfer","Upwork"
456,"Software Development","MySQL","Stripe","PeoplePerHour"
457,"Technical Writing","AWS","Direct Bank Transfer","LinkedIn"
458,"Blockchain Development","Azure","Wire Transfer","Behance"
459,"QA Testing","WordPress","Credit Card","Freelancer.com"
460,"Backend Development","Photoshop","PayPal","Fiverr"
461,"Technical Writing","React","Payoneer","Indeed"
462,"Mobile App Development","MongoDB","PayPal","Catalant"
463,"Graphic Design","Tableau","PayPal","GitHub Jobs"
464,"E-commerce Development","Jupyter","Payoneer","Upwork"
465,"UI/UX Design","Slack","Payoneer","Remote.co"
466,"Full Stack Development","Jira","Direct Bank Transfer","Toptal"
467,"E-commerce Development","Git","Payoneer","Fiverr"
468,"AI Development","Django","Stripe","99designs"
469,"Technical Writing","TensorFlow","Zelle","Toptal"
470,"Cybersecurity","Kubernetes","Credit Card","Upwork"
471,"Cybersecurity","Node.js","Payoneer","Fiverr"
472,"UI/UX Design","TensorFlow","PayPal","Indeed"
473,"Data Analysis","Shopify","Stripe","Upwork"
474,"QA Testing","Docker","Credit Card","AngelList"
475,"Data Analysis","Tableau","Venmo","Indeed"
476,"Technical Writing","Azure","Wise","Freelancer.com"
477,"Mobile App Development","Figma","Zelle","99designs"
478,"Cloud Computing","Visual Studio Code","Stripe","Toptal"
479,"IT Support","Django","Stripe","Freelancer.com"
480,"Machine Learning","Figma","Zelle","Toptal"
481,"UI/UX Design","Shopify","Venmo","PeoplePerHour"
482,"Digital Marketing","Jupyter","Wise","PeoplePerHour"
483,"AI Development","Photoshop","Wise","Guru"
484,"QA Testing","Node.js","Zelle","AngelList"
485,"Full Stack Development","Kubernetes","Stripe","PeoplePerHour"
486,"Graphic Design","Node.js","Cryptocurrency","Freelancer.com"
487,"Software Development","Photoshop","Credit Card","GitHub Jobs"
488,"Full Stack Development","Power BI","Payoneer","Freelancer.com"
